ref;Circuit name;sub_1_short;sub_2_short;Voltage level (kV);I_max_Summer;I_max_Interseason_1;I_max_Interseason_2;I_max_Winter;Resistance R (Ω);Reactance X (Ω);Capacity (nF);Half-Susceptance Hd/2 (μS);Length (m);
P.GASL62V.BEL;LIT 225kV N0 2 PLESSIS-GASSOT - VILLIERS-LE-BEL;P.GAS;V.BEL;225;520;782;782;998;0,191;1,278;29,255;4,595;3259;
P.GASL62ZV.BE;LIT 225kV N0 2 PLESSIS-GASSOT -PIQUAGE A VILLIERS-LE-BEL;P.GAS;ZV.BE;225;948;1086;1086;1211;0,191;1,278;29,034;4,561;3185;
PONTEL62REALT;LIT 225kV N0 2 PONTEAU - REALTOR;PONTE;REALT;225;1062;1160;1160;1238;1,009;10,364;402,693;63,255;34309;
P.SIML62VERFE;LIT 225kV N0 2 PORTET-ST-SIMON - VERFEIL;P.SIM;VERFE;225;780;780;940;940;1,773;11,735;344,193;54,066;29255;
PRELEL62SEREI;LIT 225kV N0 2 PRELES (LES)-SEREIN;PRELE;SEREI;225;843;909;909;996;1,266;5,727;127,060;19,959;14135;
PRIMEL62SAUS5;LIT 225kV N0 2 PRIMEVERES - SAUSSET;PRIME;SAUS5;225;1172;1285;1285;1388;0,467;3,125;71,433;11,221;7790;
R.TORL62VLEJU;LIT 225kV N0 2 RAIE-TORTUE-VILLEJUST;R.TOR;VLEJU;225;1172;1285;1285;1388;0,453;4,383;190,948;29,994;15219;
ROMAIL62VLEVA;LIT 225kV N0 2 ROMAINVILLE-VILLEVAUDE;ROMAI;VLEVA;225;480;480;835;835;1,252;6,998;1105,248;173,612;19154;
SOLEIL62VOLVO;LIT 225kV N0 2 SOLEIL (LE)-VOLVON;SOLEI;VOLVO;225;981;1085;1085;1176;0,891;5,957;136,442;21,432;14858;
TAVELL62VIRAD;LIT 225kV N0 2 TAVEL - VIRADEL;TAVEL;VIRAD;225;985;985;1129;1165;2,908;18,350;628,419;98,712;46832;
AQUEDL63CIROL;LIT 225kV N0 3 AQUEDUCS (LES) - CIROLLIERS;AQUED;CIROL;225;1172;1285;1285;1388;0,552;3,677;84,646;13,296;9219;
ARDOIL63TAVEL;LIT 225kV N0 3 ARDOISE (L ) - TAVEL;ARDOI;TAVEL;225;1233;1320;1320;1389;0,648;4,319;98,958;15,544;10612;
BXTO5L63LATEN;LIT 225kV N0 3 BEAUTOR (POSTE)-LATENA;BXTO5;LATEN;225;2200;2300;2300;2400;0,944;8,865;408,417;64,154;31467;
CAZARL63LANNE;LIT 225kV N0 3 CAZARIL-LANNEMEZAN;CAZAR;LANNE;225;1018;1117;1117;1213;0,786;4,732;109,587;17,214;11752;
CHAINL63DAMBR;LIT 225kV N0 3 CHAINGY-DAMBRON;CHAIN;DAMBR;225;1099;1099;1264;1264;1,577;10,534;315,917;49,624;26624;
CHESNL63CZTRY;LIT 225kV N0 3 CHESNOY (LE)-COURTRY;CHESN;CZTRY;225;890;890;1130;1130;1,170;7,980;179,581;43,000;20002;
CORBIL61DISTR;LIT 225kV N0 3 CORBIERE (LA)-DISTRE;CORBI;DISTR;225;1249;1337;1337;1434;2,745;18,499;416,532;65,429;45814;
G.BANL63GIVOR;LIT 225kV N0 3 GIVORS-BANS-GIVORS;G.BAN;GIVOR;225;468;722;722;899;0,030;0,230;4,921;1,000;465;
G.SYNL63WARAN;LIT 225kV N0 3 GRANDE-SYNTHE-WARANDE;G.SYN;RANDE;225;1308;1408;1408;1478;0,853;5,685;130,804;20,547;14198;
G.CAIL63MASTA;LIT 225kV N0 3 GROS-CAILLOU-MASTAING;G.CAI;MASTA;225;975;1030;1030;1110;0,497;2,478;55,711;8,751;6105;
LUMESL63MOHON;LIT 225kV N0 3 LUMES - MOHON;LUMES;MOHON;225;328;554;554;694;0,357;2,325;53,668;8,430;5500;
MEZE5L63PORCH;LIT 225kV N0 3 MEZEROLLES-PORCHEVILLE;MEZE5;PORCH;225;511;768;768;979;0,366;2,445;54,950;8,632;6406;
MTPELL63TAMAR;LIT 225kV N0 3 MONTPELLIER - TAMAREAU;MTPEL;TAMAR;225;1200;1200;1320;1389;1,216;8,161;248,442;39,025;20543;
ORMESL63VESLE;LIT 225kV N0 3 ORMES-VESLE;ORMES;VESLE;225;1140;1248;1248;1347;1,311;8,738;194,565;30,562;21661;
P.GASL63SEINE;LIT 225kV N0 3 PLESSIS-GASSOT - SEINE;P.GAS;SEINE;225;1796;1800;1975;2100;0,491;4,808;236,501;37,149;16391;
P.SIML63VERFE;LIT 225kV N0 3 PORTET-ST-SIMON - VERFEIL;P.SIM;VERFE;225;756;858;858;921;2,379;12,608;274,359;43,096;30788;
REALTL63SEPTE;LIT 225kV N0 3 REALTOR - SEPTEMES;REALT;SEPTE;225;1062;1160;1160;1238;0,382;2,562;78,464;12,325;7112;
AGASSL71JONQU;LIT 400kV N0 1 AGASSES (LES) - JONQUIERES;AGASS;JONQU;400;3465;3622;3622;3780;0,206;2,707;142,744;22,422;10281;
AGASSL71TAVEL;LIT 400kV N0 1 AGASSES (LES) - TAVEL;AGASS;TAVEL;400;2462;2644;2644;2798;0,460;4,671;183,576;28,836;15596;
ALBERL71COCHE;LIT 400kV N0 1 ALBERTVILLE - COCHE (LA);ALBER;COCHE;400;2585;2633;2633;2715;0,694;9,818;203,285;31,932;22583;
ALBERL71G.ILE;LIT 400kV N0 1 ALBERTVILLE - GRANDE-ILE;ALBER;G.ILE;400;3099;3441;3441;3741;0,739;11,290;538,441;84,578;40744;
ALBERL71M.LAN;LIT 400kV N0 1 ALBERTVILLE-MONTAGNY-LES-LANCHES;ALBER;M.LAN;400;2170;2318;2318;2498;1,265;12,616;443,885;69,725;37517;
ARGIAL71CANTE;LIT 400kV N0 1 ARGIA (BAYONNE SUD) - CANTEGRIT;ARGIA;CANTE;400;2200;2300;2300;2400;2,608;29,184;892,872;140,252;83807;
ARGOEL71CHEVA;LIT 400kV N0 1 ARGOEUVES - CHEVALET;ARGOE;CHEVA;400;3465;3622;3622;3780;0,842;11,054;582,616;91,517;41972;
ARGOEL71FRUGE;LIT 400kV N0 1 ARGOEUVES - FRUGES;ARGOE;FRUGE;400;3465;3622;3622;3780;1,307;17,156;904,261;142,041;65137;
ARGOEL71LIMEU;LIT 400kV N0 1 ARGOEUVES - LIMEUX;ARGOE;LIMEU;400;3465;3622;3622;3780;0,492;8,333;463,586;72,820;33285;
ARGOEL71MANDA;LIT 400kV N0 1 ARGOEUVES - MANDARINS;ARGOE;MANDA;400;3465;3622;3622;3780;2,377;31,238;1648,737;258,983;118964;
ARGOEL71PENL5;LIT 400kV N0 1 ARGOEUVES - PENLY (POSTE EVACUATION);ARGOE;PENL5;400;3465;3622;3622;3780;1,213;20,654;1146,974;180,166;80720;
ARGOEL71TERRI;LIT 400kV N0 1 ARGOEUVES - TERRIER;ARGOE;TERRI;400;3465;3622;3622;3780;1,684;22,111;1165,880;183,136;83970;
AVELIL71GAVRE;LIT 400kV N0 1 AVELIN - GAVRELLE;AVELI;GAVRE;400;2238;2412;2412;2622;0,870;9,697;299,562;47,055;28140;
AVELIL71MASTA;LIT 400kV N0 1 AVELIN - MASTAING;AVELI;MASTA;400;2570;2718;2718;2912;0,910;10,249;354,191;55,636;31358;
AVELIL71WEPPE;LIT 400kV N0 1 AVELIN - WEPPES;AVELI;WEPPE;400;3078;3266;3266;3458;0,532;6,714;384,108;60,335;21668;
AVOI5L71DISTR;LIT 400kV N0 1 AVOINE (POSTE 400 kV) - DISTRE;AVOI5;DISTR;400;3196;3488;3488;3582;0,511;6,623;260,130;40,861;21655;
AVOI5L71G.AVO;LIT 400kV N0 1 AVOINE (POSTE 400 kV) - GRILLE-AVOINE;AVOI5;G.AVO;400;1950;2025;2025;2100;0,009;0,149;3,482;0,547;375;
AVOI5L71LARCA;LIT 400kV N0 1 AVOINE (POSTE 400 kV) - LARCAY;AVOI5;LARCA;400;3465;3622;3622;3780;1,009;13,254;699,704;109,909;50356;
BAIXAL71GAUDI;LIT 400kV N0 1 BAIXAS - GAUDIERE (LA);BAIXA;GAUDI;400;4400;4500;4500;4500;1,565;22,203;839,529;131,873;71084;
BARNAL71PENL5;LIT 400kV N0 1 BARNABOS - PENLY (POSTE EVACUATION);BARNA;PENL5;400;3465;3622;3622;3780;0,707;12,046;669,312;105,135;47082;
BARNAL71ROUGE;LIT 400kV N0 1 BARNABOS - ROUGEMONTIER;BARNA;ROUGE;400;3416;3622;3622;3780;1,057;15,342;608,174;95,532;50281;
BARNAL71TERRI;LIT 400kV N0 1 BARNABOS - TERRIER;BARNA;TERRI;400;3465;3622;3622;3780;2,136;28,087;1484,423;233,173;106793;
BARNAL71VAUPA;LIT 400kV N0 1 BARNABOS - VAUPALIERE (LA);BARNA;VAUPA;400;3465;3622;3622;3780;0,437;5,743;302,661;47,542;21836;
BARNAL71REMIS;LIT 400kV N0 1 BARNABOS-REMISE;BARNA;REMIS;400;3465;3622;3622;3780;1,725;22,672;1193,517;187,477;86154;
BAYETL71GREPI;LIT 400kV N0 1 BAYET - GREPILLES;BAYET;GREPI;400;2130;2374;2374;2576;2,126;21,558;849,526;133,443;70752;
BAYETL71MARMA;LIT 400kV N0 1 BAYET - MARMAGNE;BAYET;MARMA;400;2130;2300;2300;2400;3,707;37,569;1482,996;232,948;123205;
BAYETL71RULHA;LIT 400kV N0 1 BAYET - RULHAT;BAYET;RULHA;400;2600;2700;2700;2800;1,039;13,658;721,720;113,368;52395;
BAYETL71GAUGL;LIT 400kV N0 1 BAYET-GAUGLIN;BAYET;GAUGL;400;2800;3000;3000;3100;3,096;40,844;2167,601;340,486;156345;
BEZAUL71HOUDR;LIT 400kV N0 1 BEZAUMONT - HOUDREVILLE;BEZAU;HOUDR;400;3465;3622;3622;3780;1,038;13,645;720,143;113,120;51843;
BEZAUL71MARL6;LIT 400kV N0 1 BEZAUMONT - MARLENHEIM;BEZAU;MARL6;400;2070;2282;2282;2400;4,629;51,059;1989,751;312,549;166234;
BEZAUL71VIGY;LIT 400kV N0 1 BEZAUMONT - VIGY;BEZAU;1VIGY;400;3294;3622;3622;3780;0,886;11,633;612,618;96,230;44148;
BIANCL71TRANS;LIT 400kV N0 1 BIANCON - TRANS;BIANC;TRANS;400;2128;2326;2326;2482;0,936;9,487;374,496;58,826;31208;
BOCTOL71M.SEI;LIT 400kV N0 1 BOCTOIS - MERY-SUR-SEINE;BOCTO;M.SEI;400;3465;3622;3622;3780;0,714;9,372;492,279;77,327;35548;
BOCTOL71MORBR;LIT 400kV N0 1 BOCTOIS - MORBRAS;BOCTO;MORBR;400;3465;3622;3622;3780;1,565;20,572;1086,364;170,646;78180;
BOISSL71CHAFF;LIT 400kV N0 1 BOISSE (LA) - CHAFFARD (LE);BOISS;CHAFF;400;1752;1998;1998;2172;0,724;7,901;253,983;39,896;23479;
BOISSL71MIONS;LIT 400kV N0 1 BOISSE (LA) - MIONS;BOISS;MIONS;400;2300;2450;2450;2600;0,617;6,605;220,834;34,689;20080;
B.TOLL71GEN.P;LIT 400kV N0 1 BOIS-TOLLOT - GENISSIAT-POSTE;B.TOL;GEN.P;400;1948;2162;2162;2348;1,107;10,877;381,815;59,975;33634;
BOUTRL71P.ORG;LIT 400kV N0 1 BOUTRE - PLAN-D ORGON;BOUTR;P.ORG;400;3192;3489;3489;3723;1,659;21,818;1152,925;181,101;83165;
BOUTRL71PRION;LIT 400kV N0 1 BOUTRE - PRIONNET;BOUTR;PRION;400;3192;3489;3489;3723;0,147;2,356;108,656;17,068;8951;
BRAUDL71MQIS;LIT 400kV N0 1 BRAUD - MARQUIS (LE);BRAUD;1MQIS;400;2200;2300;2300;2400;0,921;11,921;468,080;73,526;39424;
BRAUDL71PREGU;LIT 400kV N0 1 BRAUD - PREGUILLAC;BRAUD;PREGU;400;3072;3414;3414;3598;0,994;14,430;572,057;89,859;47291;
BREUIL71MARMA;LIT 400kV N0 1 BREUIL (LE) - MARMAGNE;BREUI;MARMA;400;1410;1632;1632;1806;9,503;71,427;2233,386;350,819;209476;
BREUIL71RUEYR;LIT 400kV N0 1 BREUIL (LE) - RUEYRES;BREUI;RUEYR;400;1186;1644;1644;1968;1,964;21,402;733,040;115,146;65650;
B.CARL71BIANC;LIT 400kV N0 1 BROC-CARROS (LE) - BIANCON;B.CAR;BIANC;400;2006;2192;2192;2336;1,665;15,592;623,881;97,999;51487;
CALA5L71COR.P;LIT 400kV N0 1 CALAN - CORDEMAIS-POSTE;CALA5;COR.P;400;2200;2300;2300;2400;4,186;42,432;1673,787;262,918;139524;
CALA5L71MARTY;LIT 400kV N0 1 CALAN - MARTYRE (LA);CALA5;MARTY;400;2862;2920;2920;3020;2,953;29,941;1180,375;185,413;98335;
CAPELL71LONNY;LIT 400kV N0 1 CAPELLE (LA) - LONNY;CAPEL;LONNY;400;2196;2422;2422;2596;1,639;17,552;586,813;92,176;53016;
CAPELL71MASTA;LIT 400kV N0 1 CAPELLE (LA) - MASTAING;CAPEL;MASTA;400;2570;2718;2718;2914;1,887;20,213;675,812;106,156;60871;
CAZARL71MARSI;LIT 400kV N0 1 CAZARIL - MARSILLON;CAZAR;MARSI;400;3316;3622;3622;3780;2,096;29,202;1485,863;233,399;101257;
CAZARL71VERFE;LIT 400kV N0 1 CAZARIL - VERFEIL;CAZAR;VERFE;400;3255;3600;3600;3780;2,421;32,079;1680,961;264,045;121353;
CERGYL71MEZE5;LIT 400kV N0 1 CERGY-MEZEROLLES;CERGY;MEZE5;400;2200;2300;2300;2400;0,991;10,236;384,146;60,342;32739;
CERGYL71TERRI;LIT 400kV N0 1 CERGY-TERRIER;CERGY;TERRI;400;2366;2596;2596;2778;0,876;9,212;326,549;51,294;28595;
CHAFFL71CPNIE;LIT 400kV N0 1 CHAFFARD (LE) - CHAMPAGNIER;CHAFF;CPNIE;400;2110;2246;2246;2382;3,161;35,012;1153,877;181,251;104135;
CHAFFL71COULA;LIT 400kV N0 1 CHAFFARD (LE) - COULANGE;CHAFF;COULA;400;;;;;4,154;41,629;1652,193;259,526;0;
CHAFFL71G.ILE;LIT 400kV N0 1 CHAFFARD (LE) - GRANDE-ILE;CHAFF;G.ILE;400;3465;3622;3622;3780;1,440;20,469;1023,776;160,814;76242;
CHAFFL71MIONS;LIT 400kV N0 1 CHAFFARD (LE) - MIONS;CHAFF;MIONS;400;1764;1876;1876;1988;0,543;4,174;131,144;20,600;12222;
CHAFFL71P.COR;LIT 400kV N0 1 CHAFFARD (LE) - PIVOZ-CORDIER;CHAFF;P.COR;400;3465;3622;3622;3780;1,293;14,857;543,100;85,310;47327;
CHAFFL71SSV.O;LIT 400kV N0 1 CHAFFARD (LE) - ST-VULBAS-OUEST;CHAFF;SSV.O;400;2300;2400;2400;2400;0,562;5,705;224,009;35,187;18713;
CHAINL71VERGE;LIT 400kV N0 1 CHAINGY - VERGER;CHAIN;VERGE;400;1332;1796;1796;2098;0,716;7,287;286,713;45,037;23926;
CBRY L71M.SEI;LIT 400kV N0 1 CHAMBRY - MERY-SUR-SEINE;CBRY;M.SEI;400;1812;1988;1988;2124;4,148;32,015;988,870;155,331;93177;
CBRY L71PENC5;LIT 400kV N0 1 CHAMBRY - PENCHARD;CBRY;PENC5;400;1988;2122;2122;2258;0,201;1,622;50,525;7,936;4722;
CPNIEL71VAUJA;LIT 400kV N0 1 CHAMPAGNIER - VAUJANY;CPNIE;VAUJA;400;2600;2700;2700;2800;0,667;9,296;372,698;58,543;30750;
CHAN5L71DISTR;LIT 400kV N0 1 CHANCEAUX - DISTRE;CHAN5;DISTR;400;2200;2300;2300;2400;2,318;24,100;951,112;149,400;79080;
CHAN5L71LARCA;LIT 400kV N0 1 CHANCEAUX - LARCAY;CHAN5;LARCA;400;3465;3622;3622;3780;0,445;5,843;307,683;48,331;22164;
CHAN5L71QUINT;LIT 400kV N0 1 CHANCEAUX - QUINTES (LES);CHAN5;QUINT;400;3465;3622;3622;3780;1,191;15,651;826,132;129,768;59408;
CHAN5L71VLERB;LIT 400kV N0 1 CHANCEAUX - VILLERBON;CHAN5;VLERB;400;2200;2300;2300;2400;1,912;19,401;765,093;120,181;89280;
CHARPL71ECHAL;LIT 400KV N0 1 CHARPENAY - ECHALAS;CHARP;ECHAL;400;;;;;0,526;9,604;410,796;64,528;32890;
CHARPL71GREPI;LIT 400kV N0 1 CHARPENAY - GREPILLES;CHARP;GREPI;400;2168;2308;2308;2448;1,777;17,251;686,547;107,843;57026;
CHARPL71SSV.O;LIT 400kV N0 1 CHARPENAY - ST-VULBAS-OUEST;CHARP;SSV.O;400;2300;2450;2450;2600;1,696;17,199;677,682;106,450;53537;
CHESNL71CIROL;LIT 400kV N0 1 CHESNOY (LE) - CIROLLIERS;CHESN;CIROL;400;1022;1614;1614;1956;1,823;20,419;629,688;98,911;58648;
CHESNL71M.SEI;LIT 400kV N0 1 CHESNOY (LE) - MERY-SUR-SEINE;CHESN;M.SEI;400;2366;2596;2596;2778;2,465;24,978;985,956;154,874;82163;
CHESNL71MORBR;LIT 400kV N0 1 CHESNOY (LE) - MORBRAS;CHESN;MORBR;400;2300;2522;2522;2696;1,451;15,877;518,289;81,413;47256;
MORBRL71ZCHES;LIT 400kV N0 1 CHESNOY (LE) - PIQUAGE A CHESNOY;MORBR;ZCHES;400;1022;1614;1614;1956;0,025;0,265;8,869;1,393;58942;
CHESNL71TABAR;LIT 400kV N0 1 CHESNOY (LE) - TABARDERIE;CHESN;TABAR;400;2138;2356;2356;2522;2,847;31,537;999,594;157,016;91731;
CHESNL71VLECH;LIT 400kV N0 1 CHESNOY (LE) - VILLECHETIVE;CHESN;VLECH;400;1410;1808;1808;2116;2,198;24,353;771,009;121,110;71239;
CHEVAL71GAVRE;LIT 400kV N0 1 CHEVALET - GAVRELLE;CHEVA;GAVRE;400;2366;2596;2596;2778;0,595;7,809;411,649;64,662;67140;
CHEVAL71LATEN;LIT 400kV N0 1 CHEVALET - LATENA;CHEVA;LATEN;400;2570;2718;2718;2914;1,977;20,030;794,838;124,853;65954;
CHEVAL71WARAN;LIT 400kV N0 1 CHEVALET - WARANDE;CHEVA;WARAN;400;3465;3622;3622;3780;3,115;31,604;1246,642;195,822;29616;
CIROLL71GATI5;LIT 400kV N0 1 CIROLLIERS - GATINAIS;CIROL;GATI5;400;2300;2522;2522;2696;1,068;14,027;740,123;116,258;19640;
CIROLL71VLEJU;LIT 400kV N0 1 CIROLLIERS - VILLEJUST;CIROL;VLEJU;400;3465;3622;3622;3780;0,609;6,800;208,607;32,768;53455;
CLERAL71CUBNE;LIT 400kV N0 1 CLERAC - CUBNEZAIS;CLERA;CUBNE;400;1850;2194;2194;2370;0,661;7,126;236,787;37,194;127980;
CLERAL71PLAUD;LIT 400kV N0 1 CLERAC - PLAUD;CLERA;PLAUD;400;2585;2633;2633;2715;3,972;44,447;1367,319;214,778;40341;
COCHEL71P.AND;LIT 400kV N0 1 COCHE (LA) - PRAZ-ST-ANDRE;COCHE;P.AND;400;2200;2300;2300;2400;1,237;17,543;361,236;56,743;91000;
COR.PL71LOUIS;LIT 400kV N0 1 CORDEMAIS-P - LOUISFERT (poste F);COR.P;LOUIS;400;2200;2300;2300;2400;1,671;16,933;669,837;105,218;150881;
COR.PL71GALOR;LIT 400kV N0 1 CORDEMAIS-POSTE - GALOREAUX (LES);COR.P;GALOR;400;2200;2300;2300;2400;2,738;26,790;1145,509;179,936;55189;
CORNIL71GEN.P;LIT 400kV N0 1 CORNIER - GENISSIAT-POSTE;CORNI;GEN.P;400;2304;2462;2462;2654;0,764;11,675;549,362;86,294;68868;
CORNIL71M.LAN;LIT 400kV N0 1 CORNIER - MONTAGNY-LES-LANCHES;CORNI;M.LAN;400;3465;3544;3544;3575;1,649;21,038;851,956;133,825;90713;
COULAL71P.COR;LIT 400kV N0 1 COULANGE - PIVOZ-CORDIER;COULA;P.COR;400;2144;2284;2284;2448;2,725;27,563;1088,790;171,027;90708;
COULAL71TAVEL;LIT 400kV N0 1 COULANGE - TAVEL;COULA;TAVEL;400;2168;2308;2308;2448;2,283;21,794;902,003;141,686;45273;
COULAL71TRI.P;LIT 400kV N0 1 COULANGE - TRICASTIN-POSTE (LE);COULA;TRI.P;400;3465;3544;3544;3575;1,371;13,485;535,158;84,062;90713;
CRENEL71M.SEI;LIT 400kV N0 1 CRENEY - MERY-SUR-SEINE;CRENE;M.SEI;400;2366;2400;2400;2600;1,172;9,065;281,508;44,219;83925;
CRENEL71REVIG;LIT 400kV N0 1 CRENEY - REVIGNY;CRENE;REVIG;400;1684;1854;1854;1986;2,595;27,828;929,462;146,000;40800;
CRENEL71VIELM;LIT 400kV N0 1 CRENEY - VIELMOULIN;CRENE;VIELM;400;2946;3144;3144;3344;5,532;42,281;1304,398;204,894;59949;
CREYSL71GEN.P;LIT 400kV N0 1 CREYS - GENISSIAT-POSTE;CREYS;GEN.P;400;2946;3144;3144;3344;1,112;16,141;687,728;108,028;21051;
CREYSL71G.ILE;LIT 400kV N0 1 CREYS - GRANDE-ILE;CREYS;G.ILE;400;2750;2875;2875;3000;1,271;18,454;731,119;114,844;52885;
CREYSL71SSV.O;LIT 400kV N0 1 CREYS - ST-VULBAS-OUEST;CREYS;SSV.O;400;2946;3144;3144;3344;0,445;6,452;255,518;40,137;60459;
CUBNEL71DONZA;LIT 400kV N0 1 CUBNEZAIS - DONZAC;CUBNE;DONZA;400;2374;2522;2522;2624;3,748;49,276;2603,404;408,942;63067;
CUBNEL71SAUCA;LIT 400kV N0 1 CUBNEZAIS - SAUCATS;CUBNE;SAUCA;400;3150;3307;3307;3465;1,876;19,020;750,554;117,897;210752;
DAMBRL71GATI5;LIT 400kV N0 1 DAMBRON - GATINAIS;DAMBR;GATI5;400;2200;2300;2300;2400;0,848;11,133;587,193;92,236;55100;
DAMBRL71VERGE;LIT 400kV N0 1 DAMBRON - VERGER;DAMBR;VERGE;400;2366;2596;2596;2778;1,664;16,881;665,889;104,598;116318;
DAMBRL71YVE.O;LIT 400kV N0 1 DAMBRON-YVELINES-OUEST;DAMBR;YVE.O;400;3465;3622;3622;3780;3,477;35,298;1397,074;219,452;42736;
DISTRL71GALOR;LIT 400kV N0 1 DISTRE - GALOREAUX (LES);DISTR;GALOR;400;2200;2300;2300;2400;1,783;18,026;718,738;112,899;46472;
DISTRL71JUMEA;LIT 400kV N0 1 DISTRE - JUMEAUX (LES);DISTR;JUMEA;400;2494;2716;2716;2872;1,395;14,155;556,761;87,456;98933;
DISTRL71PICOC;LIT 400kV N0 1 DISTRE - PICOCHERIE (LA);DISTR;PICOC;400;2200;2300;2300;2400;2,910;30,086;1187,676;186,560;46472;
DOMLOL71LAUNA;LIT 400kV N0 1 DOMLOUP - LAUNAY;DOMLO;LAUNA;400;2494;2676;2676;2778;1,411;18,548;979,061;153,791;48566;
DOMLOL71LOUIS;LIT 400kV N0 1 DOMLOUP - LOUISFERT (poste F);DOMLO;LOUIS;400;3465;3622;3622;3780;1,469;14,910;585,913;92,035;43829;
DOMLOL71OUDON;LIT 400kV N0 1 DOMLOUP - OUDON;DOMLO;OUDON;400;2200;2300;2300;2400;0,921;11,633;609,598;95,755;111701;
DOMLOL71P.HA5;LIT 400kV N0 1 DOMLOUP-PLAINE HAUTE;DOMLO;P.HA5;400;3465;3622;3622;3780;3,396;36,665;1256,665;197,396;70591;
DONZAL71LESQU;LIT 400kV N0 1 DONZAC - LESQUIVE;DONZA;LESQU;400;3255;3600;3600;3780;1,007;13,151;686,402;107,820;89931;
ECHALL71P.COR;LIT 400KV N0 1 ECHALAS - PIVOZ-CORDIER;ECHAL;P.COR;400;;;;;0,268;4,890;209,170;32,856;16747;
EGUZOL71MARMA;LIT 400kV N0 1 EGUZON -  MARMAGNE;EGUZO;MARMA;400;2332;2582;2582;2716;2,742;30,811;941,033;147,817;85196;
EGUZOL71PLAUD;LIT 400kV N0 1 EGUZON - PLAUD;EGUZO;PLAUD;400;1186;1644;1644;1968;2,640;29,543;902,936;141,833;227310;
EGUZOL71RUEYR;LIT 400kV N0 1 EGUZON - RUEYRES;EGUZO;RUEYR;400;3465;3622;3622;3780;6,694;73,668;2552,101;400,883;76000;
EGUZOL71VALDI;LIT 400kV N0 1 EGUZON - VALDIVIENNE;EGUZO;VALDI;400;2200;2300;2300;2400;1,518;19,985;1056,262;165,917;144534;
EGUZOL71VERGE;LIT 400kV N0 1 EGUZON - VERGER;EGUZO;VERGE;400;3465;3622;3622;3780;4,171;45,846;1672,554;262,724;75954;
FRASNL71GEN.P;LIT 400kV N0 1 FRASNE - GENISSIAT-POSTE;FRASN;GEN.P;400;2070;2282;2282;2400;3,012;36,863;1001,225;157,272;71386;
FRASNL71MAMBE;LIT 400kV N0 1 FRASNE - MAMBELIN;FRASN;MAMBE;400;3465;3622;3622;3780;2,068;22,621;828,622;130,160;52000;
FRUGEL71MANDA;LIT 400kV N0 1 FRUGES - MANDARINS;FRUGE;MANDA;400;3195;3561;3561;3780;1,037;13,637;720,407;113,161;88758;
GATI5L71GAUGL;LIT 400kV N0 1 GATINAIS - GAUGLIN;GATI5;GAUGL;400;3465;3622;3622;3780;1,740;22,883;1208,509;189,832;44838;
GATI5L71TABAR;LIT 400kV N0 1 GATINAIS - TABARDERIE;GATI5;TABAR;400;3195;3561;3561;3780;0,899;11,804;622,697;97,813;88736;
GAUDIL71ISSEL;LIT 400kV N0 1 GAUDIERE (LA) - ISSEL;GAUDI;ISSEL;400;2176;2400;2400;2576;1,775;17,931;716,084;112,482;175186;
GEN.PL71VIELM;LIT 400kV N0 1 GENISSIAT-POSTE - VIELMOULIN;GEN.P;VIELM;400;2200;2556;2556;2864;3,545;51,485;2042,332;320,809;168798;
GRANZL71JUMEA;LIT 400kV N0 1 GRANZAY - JUMEAUX (LES);GRANZ;JUMEA;400;3072;3414;3414;3598;2,364;24,314;960,118;150,815;64884;
GRANZL71PREGU;LIT 400kV N0 1 GRANZAY - PREGUILLAC;GRANZ;PREGU;400;3465;3622;3622;3780;1,350;19,588;776,608;121,989;54452;
GRANZL71ROM;LIT 400kV N0 1 GRANZAY - ROM;GRANZ;71ROM;400;2200;2300;2300;2400;1,100;14,465;764,500;120,087;79955;
GROSNL71SSV.O;LIT 400kV N0 1 GROSNE - ST-VULBAS-OUEST;GROSN;SSV.O;400;2138;2356;2356;2522;3,567;39,288;1265,630;198,805;2840;
GROSNL71VIELM;LIT 400kV N0 1 GROSNE - VIELMOULIN;GROSN;VIELM;400;2300;2450;2450;2600;2,549;28,582;871,392;136,878;131583;
H.PAUL71SSV.O;LIT 400kV N0 1 HENRI-PAUL - ST-VULBAS-OUEST;H.PAU;SSV.O;400;3294;3622;3622;3780;2,637;37,126;1707,054;268,143;66068;
H.PAUL71VIELM;LIT 400kV N0 1 HENRI-PAUL - VIELMOULIN;H.PAU;VIELM;400;2104;2300;2300;2400;1,349;17,720;934,591;146,805;54154;
HERS5L71LATEN;LIT 400kV N0 1 HERSE(LA) - LATENA;HERS5;LATEN;400;2200;2300;2300;2400;1,229;12,468;491,338;77,179;61754;
HERS5L71VLEVA;LIT 400kV N0 1 HERSE(LA) - VILLEVAUDE;HERS5;VLEVA;400;2055;2277;2277;2458;1,856;18,819;741,270;116,438;61833;
HOUDRL71LOGEL;LIT 400kV N0 1 HOUDREVILLE - LOGELBACH;HOUDR;LOGEL;400;2366;2596;2596;2778;3,108;35,853;1229,850;193,184;109170;
HOUDRL71M.SEI;LIT 400kV N0 1 HOUDREVILLE - MERY-SUR-SEINE;HOUDR;M.SEI;400;2366;2596;2596;2778;4,883;49,515;1953,151;306,800;162749;
HOUDRL71N.MAI;LIT 400kV N0 1 HOUDREVILLE - NEUVES-MAISONS;HOUDR;N.MAI;400;2214;2450;2450;2630;0,333;3,559;121,262;19,048;10822;
