,Code,Nom,S3REnR,Taux d'affection des capacités réservées,X,Y,Puissance des projets en service du S3REnR en cours,Puissance des projets en développement du S3REnR en cours,Capacité d'accueil réservée au titre du S3REnR qui resteàaffecter,Puissance EnR déjé raccordée,Puissance des projets EnR en développement,Capacité réservée aux EnR au titre du S3REnR,Attention: la valeur de la capacité réservée a été modifiée sur ce poste,Quote-Part unitaire actualisée,Attention : Le S3REnR de la région est saturé,dont la convention de raccordement est signée,"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ","Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",RTE - Capacité d'accueil en HTB2,RTE - Capacité d'accueil en HTB1,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source",Puissance cumulée des transformateurs existants,Nombre de transformateurs supplémentaires possible,Nombre de transformateurs existants,Consommation minimale,Tension aval,Tension amont,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",Puissance en file d'attente,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source.1",Puissance cumulée des transformateurs existants.1,Nombre de transformateurs supplémentaires possible.1,Nombre de transformateurs existants.1,Consommation minimale.1,Tension aval.1,Tension amont.1,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible.1",Puissance en file d'attente.1,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR.1,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution.1,"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible","Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB",GRDHTB - Capacité d'accueil en HTB2,GRDHTB - Capacité d'accueil en HTB1,ratio_congestion_soutirage,RAM_soutirage,projet_injection,ratio_congestion_injection,RAM_injection,min_RAM
1484,LAVER,LAVERA,PROVENCE-ALPES-COTE-D'AZUR,17%,864042.4,6255864.5,0.2,0.1,40.7,1.4,0.1,41.0,Transfert vers Feuillane (- 20 MW),76.07 k€/MW,,0.0,60.8,,0.0, <= 0.0MW,40.7,56.0,,2.0,4.1,21.0,63.0,Mutation d'un transformateur de 20 en 36 MVA,0.1,41.0,58.7,,,,,,,,,,,,,,,,36,35.84,42.5,72,16.436000000000003,16.436000000000003
1486,LAVO5,LAVOISIER,GRAND-EST,78%,1023702.44,6748343.0,0.0,0.2,0.9,0.9,0.2,1.1,18/11/2024 : -1.43 MW,81.82 k€/MW,Non,0.0,2.5,.,0.0, > 15.0MW,2.3,72.0,,2.0,5.6,21.0,63.0,,0.2,2.5,76.5,,,,,,,,,,,,,,,,38,44.64,3.6,4,73.44,44.64
1487,LAVOI,LAVOIR,BOURGOGNE-FRANCHE-COMTé,61%,853423.7,6693789.0,0.2,0.0,0.8,1.0,0.0,1.0,Transfert de capacité notifié le 19/07/2024 de -6 MW  et  Notifié le 06/12/2024 : -3 MW,72.71 k€/MW,,0.0,0.0,,0.0, > 15.0MW,9.8,168.0,,5.0,11.5,15.0,63.0,,0.0,10.0,178.5,,,,,,,,,,,,,,,,34,110.87999999999998,11.0,6,167.79,110.87999999999998
1488,LAXOU,LAXOU,GRAND-EST,78%,929990.1,6848348.5,0.2,1.1,0.8,0.8,1.1,2.1,18/11/2024 : -0.36 MW,81.82 k€/MW,Non,0.0,1.6,.,0.0, > 15.0MW,1.3,72.0,,2.0,6.3,21.0,62.0,,2.3,3.8,75.2,,,,,,,,,,,,,,,,43,41.040000000000006,5.7,7,69.93599999999999,41.040000000000006
1489,LECER,LECERF,HAUTE-NORMANDIE,97%,581834.9,6921271.5,0.4,1.5,0.0,1.1,1.8,1.0,,12.40 k€/MW,,0.0,0.9,,0.0, > 15.0MW,0.0,72.0,,2.0,4.6,16.0,89.0,,1.8,2.7,73.7,,,,,,,,,,,,,,,,31,49.67999999999999,5.6000000000000005,7,68.541,49.67999999999999
1490,LECTO,LECTOURE,OCCITANIE,35%,507557.75,6318142.5,1.0,24.9,0.1,9.8,31.0,26.0,08/2023 : +6 MW de FLEURANCE +3 MW de RISCLE et +7 MW d'AUCH-9/2024:+1MW de VIC-FEZENSAC,81.6 k€/MW,,0.0,0.0,Travaux de réhabilitation de la ligne 63 kV GIMONT-ISLE-JOURDAIN (Etat initial),0.0, <= 0.0MW,0.0,30.0,,2.0,2.0,20.0,63.0,,31.0,32.1,0.0,,,,,,,,,,,,,,,,33,20.099999999999998,72.9,100,0.0,0.0
1491,LEDAR,LEDAR,OCCITANIE,35%,547018.4,6210697.5,0.4,3.9,2.7,4.9,4.5,7.0,10/24 : trf -3MW adaptation,81.6 k€/MW,,0.0,7.0,Etat intial: reconstruction Gourdan-Zmontréjeau en LS et Gourdan-Zmontréjeau 63 kV: augmentation de la capacité de transit,0.0, <= 0.0MW,2.7,40.0,,2.0,4.5,21.0,63.0,Renforcement d'un transformateur de 20 en 36 MVA,4.5,7.6,35.1,,,,,,,,,,,,,,,,56,17.599999999999998,17.0,48,18.252000000000002,17.599999999999998
1493,LEGE ,LEGE,NOUVELLE-AQUITAINE,77%,370409.9,6418972.5,0.1,0.1,1.8,0.1,0.1,2.0,.,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,1.8,40.0,,2.0,4.8,16.0,63.0,,0.1,2.0,42.0,,,,,,,,,,,,,,,,60,16.0,2.2,5,39.9,16.0
1494,LEGUE,LEGUEVIN,OCCITANIE,35%,560936.75,6279616.5,0.4,1.2,13.4,7.1,1.5,15.0,04/2024 : -5MW vers EN JACCA-7/2024: -4MW vers EN JACCA,81.6 k€/MW,,0.0,15.2,-,0.0, de 0.0MW é 15.0MW,17.4,72.0,,2.0,9.7,21.0,63.0,,1.5,15.3,73.1,,,,,,,,,,,,,,,,67,23.759999999999998,23.9,32,49.70799999999999,23.759999999999998
1495,LEGUG,LEGUGNON,NOUVELLE-AQUITAINE,77%,404530.53,6241145.5,15.5,9.2,0.0,20.6,9.6,19.7,15/10/2024 : +2 MW depuis PAU-NORD,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.0,72.0,,2.0,10.5,21.0,63.0,,9.6,20.1,52.4,,,,,,,,,,,,,,,,72,20.160000000000004,50.300000000000004,95,2.6200000000000023,2.6200000000000023
1496,LENCL,LENCLOITRE,NOUVELLE-AQUITAINE,77%,497077.34,6638298.0,0.3,1.1,11.6,1.0,13.4,13.0,02/02/2024 : +6 MW depuis MIREBEAU,89.94 k€/MW,,0.0,0.0,Création LS 90 kV LOUDUN - THOUARS,, <= 0.0MW,5.6,20.0,,1.0,0.9,21.0,90.0,,13.4,19.3,6.5,,,,,,,,,,,,,,,,22,15.600000000000001,33.7,100,0.0,0.0
1497,LENT5,LENTIGNY,AUVERGNE-RHONE-ALPES,41%,775828.25,6543583.5,0.5,18.5,11.2,3.8,18.5,30.2,--,41.11 k€/MW,,0.0,0.0,Augmentatin des capacités des transit de la liaison 63kV RIORGES LENTIGNY,0.0, <= 0.0MW,0.0,20.0,,1.0,3.1,21.0,63.0,Ajout d'un transformateur de 36 MVA,18.5,30.2,0.8,,,,,,,,,,,,,,,,77,4.6,52.5,100,0.0,0.0
1498,LERE ,LERE,OCCITANIE,35%,582493.4,6341551.0,1.0,13.0,1.0,32.9,15.0,15.0,-,81.6 k€/MW,,0.0,0.0,-,0.0, <= 0.0MW,1.1,60.0,,3.0,7.8,21.0,63.0,,15.0,17.0,33.3,,,,,,,,,,,,,,,,65,21.0,64.9,100,0.0,0.0
1499,LESCA,LESCAR,NOUVELLE-AQUITAINE,77%,421453.38,6250737.0,4.9,5.0,0.0,5.4,5.0,6.0,10/08/2023 : +2 MW depuis PAU-NORD,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.0,72.0,,2.0,8.1,21.0,63.0,,5.0,8.0,69.6,,,,,,,,,,,,,,,,56,31.679999999999996,18.4,26,51.504,31.679999999999996
1500,LESNE,LESNEVEN,BRETAGNE,96%,162608.64,6855195.5,3.7,4.1,0.0,7.1,5.3,5.0,Transfert +3 MW 17/01/24,19.94 k€/MW,,0.0,0.0,,, > 15.0MW,0.3,72.0,,2.0,7.2,21.0,62.0,,10.5,14.5,61.6,,,,,,,,,,,,,,,,50,36.0,26.9,43,35.112,35.112
1502,LESP6,LESPINET,OCCITANIE,35%,577144.2,6273920.0,0.2,1.7,0.1,1.8,1.9,2.0,-,81.6 k€/MW,,0.0,2.0,-,0.0, > 15.0MW,0.1,108.0,,3.0,13.0,21.0,63.0,,1.9,2.2,117.3,,,,,,,,,,,,,,,,60,43.2,5.9,5,111.43499999999999,43.2
1503,LESPA,LESPARAT,NOUVELLE-AQUITAINE,77%,523639.97,6455611.0,2.7,4.7,0.0,5.5,4.9,7.4,10/08/2023 : +2 MW depuis EXCIDEUIL | 06/05/2024 : +2 MW depuis ST GERAUD DE CORPS,89.94 k€/MW,,0.0,0.0,Augmentation de la capacité de transit de la liaison 63 kV LESPARAT-SANILHAC 1 / Augmentation de la capacité de transit de la liaison 63 kV LESPARAT-SANILHAC 2 / Augmentation de la capacité de transit de la liaison 63 kV EXCIDEUL-LESPARAT,0.0, <= 0.0MW,0.0,144.0,,4.0,11.2,15.0,62.0,,4.9,7.6,144.8,,,,,,,,,,,,,,,,38,89.28,18.0,12,127.424,89.28
1507,LESUR,LESURCQ,ILE DE FRANCE,70%,667683.4,6837117.5,0.5,0.0,1.2,2.0,0.2,1.7,,1.83 k€/MW,,0.0,1.7,,0.0, > 15.0MW,1.2,108.0,,3.0,11.7,21.0,63.0,,0.2,1.9,117.5,,,,,,,,,,,,,,,,54,49.67999999999999,4.1,3,113.975,49.67999999999999
1508,LEVAL,LEVALLOIS,ILE DE FRANCE,70%,647283.56,6866176.5,0.0,0.0,0.3,0.3,0.0,0.3,,1.83 k€/MW,,0.0,0.3,,0.0, <= 0.0MW,0.3,390.0,,7.0,26.1,10.0,236.0,,0.0,0.3,415.9,,,,,,,,,,,,,,,,33,261.29999999999995,0.6,0,415.9,261.29999999999995
1509,LEVRO,LEVROUX,CENTRE,91%,593499.5,6653449.5,1.8,85.1,0.1,5.6,85.1,87.0,2024-10-01 : +11 MW depuis REUILLY | 2024-10-01 : +2.5 MW depuis REUILLY | 2024-10-01 : +0.5 MW depuis VALENCAY,62.75 k€/MW,,0.0,0.0,!,, <= 0.0MW,0.0,72.0,,2.0,2.1,15.0,90.0, ,85.1,87.0,0.0,,,,,,,,,,,,,,,,14,61.92,177.7,100,0.0,0.0
1510,LEYGU,LEYGUES,AUVERGNE-RHONE-ALPES,41%,654914.2,6401124.0,3.3,13.9,10.8,16.0,14.0,28.0,Trsf de -10 MW le 30/09/24,41.11 k€/MW,,0.0,0.0,Création d'un automate d'effacement de la production,0.0, de 0.0MW é 15.0MW,0.0,36.0,,1.0,1.4,21.0,63.0,Ajout d'un transformateur de 36 MVA,14.0,28.1,7.4,,,,,,,,,,,,,,,,19,29.160000000000004,58.1,100,0.0,0.0
1512,LEZIG,LEZIGNAN,OCCITANIE,35%,682079.25,6233638.0,0.2,7.7,4.1,11.6,13.5,12.0,7/2024:+4MW de LEZIGNAN NORD- 8/24 :trf +3MW de Lezignan Nord,81.6 k€/MW,,0.0,0.0,,, <= 0.0MW,0.0,108.0,,3.0,9.9,21.0,63.0,,13.5,17.8,92.7,,,,,,,,,,,,,,,,45,59.400000000000006,42.900000000000006,46,50.05800000000001,50.05800000000001
1514,LIART,LIART,GRAND-EST,78%,796950.3,6964653.5,10.7,12.9,0.6,4.0,13.6,24.2,28/12/2023 : +21.6 MW.. 18/11/2024 : +1.13 MW,81.82 k€/MW,Non,0.0,0.0,.,0.0, <= 0.0MW,0.0,108.0,,3.0,4.0,21.0,63.0,,13.6,24.3,94.4,,,,,,,,,,,,,,,,18,88.56,41.900000000000006,44,52.86400000000001,52.86400000000001
1515,LICES,LES LICES,PROVENCE-ALPES-COTE-D'AZUR,17%,939078.94,6229703.0,0.0,0.0,5.0,0.0,0.0,5.0,_,76.07 k€/MW,,0.0,5.0,,, <= 0.0MW,5.0,72.0,,2.0,7.2,21.0,63.0,,0.0,5.0,78.8,,,,,,,,,,,,,,,,50,36.0,5.0,6,74.07199999999999,36.0
1517,LIERS,LIERS,ILE DE FRANCE,70%,652088.94,6836528.5,16.8,36.7,1.9,1.8,37.1,55.4,,1.83 k€/MW,,0.0,55.4,,0.0, <= 0.0MW,1.9,210.0,,3.0,20.8,20.0,225.0,,37.1,55.8,191.9,,,,,,,,,,,,,,,,49,107.10000000000001,94.69999999999999,49,97.869,97.869
1520,LIEVE,LIEVE,AUVERGNE-RHONE-ALPES,41%,707832.94,6520270.5,0.6,0.3,7.5,1.3,0.3,8.4,--,41.11 k€/MW,,0.0,8.4,Sans Objet,0.0, > 15.0MW,7.5,72.0,,2.0,8.6,21.0,63.0,,0.3,8.4,78.9,,,,,,,,,,,,,,,,59,29.520000000000003,10.0,12,69.432,29.520000000000003
1523,LIMAN,LIMANS,PROVENCE-ALPES-COTE-D'AZUR,17%,919846.1,6326413.5,0.8,13.3,7.9,6.6,18.1,22.0,_,76.07 k€/MW,,0.0,0.0,travaux poste de Champagnier,, <= 0.0MW,7.9,56.0,,2.0,2.7,20.0,63.0,Création d'un transformateur 36 MVA,18.1,26.8,33.9,,,,,,,,,,,,,,,,24,42.56,51.5,100,0.0,0.0
1524,LIMAY,LIMAY,ILE DE FRANCE,70%,608583.6,6877468.5,21.6,0.0,4.6,1.7,3.5,26.2,,1.83 k€/MW,,0.0,26.2,,0.0, > 15.0MW,4.6,144.0,,4.0,19.4,21.0,63.0,,3.5,29.7,158.2,,,,,,,,,,,,,,,,67,47.519999999999996,34.9,22,123.396,47.519999999999996
1526,LIMO5,LIMOUX,OCCITANIE,35%,637269.75,6218336.5,0.3,23.1,20.6,5.3,23.4,44.0,_,81.6 k€/MW,,0.0,28.7,,, <= 0.0MW,0.0,56.0,,2.0,5.8,21.0,63.0,Ajout d'un transformateur de 36 MVA,23.4,44.4,33.0,,,,,,,,,,,,,,,,51,27.439999999999998,73.1,100,0.0,0.0
1528,LIMOU,LE LIMOUZAT,AUVERGNE-RHONE-ALPES,41%,755070.7,6540908.0,0.0,1.6,0.4,0.4,4.3,2.0,Trsf de +1 MW le 30/09/24,41.11 k€/MW,,0.0,1.0,Sans Objet,0.0, de 0.0MW é 15.0MW,0.4,20.0,,1.0,1.0,21.0,63.0,,4.3,4.7,16.3,,,,,,,,,,,,,,,,25,15.0,9.4,57,7.009000000000001,7.009000000000001
1529,LINGO,LINGOSTIERE,PROVENCE-ALPES-COTE-D'AZUR,17%,1037365.0,6300084.0,0.1,0.3,19.6,4.0,0.3,20.0,_,76.07 k€/MW,,0.0,20.0,,0.0, <= 0.0MW,19.6,312.0,,4.0,11.9,21.0,227.0,,0.3,20.0,319.6,,,,,,,,,,,,,,,,19,252.72000000000003,24.3,7,297.228,252.72000000000003
1530,LINGU,LINGUET,GRAND-EST,78%,777568.8,6908104.0,1.0,0.2,1.3,2.1,0.2,2.5,Non,81.82 k€/MW,Non,0.0,1.7,.,0.0, <= 0.0MW,1.3,108.0,,3.0,11.0,21.0,63.0,,0.2,2.5,116.7,,,,,,,,,,,,,,,,50,54.0,4.800000000000001,4,112.032,54.0
1531,LINXE,LINXE,NOUVELLE-AQUITAINE,77%,360114.06,6321151.0,9.1,14.4,12.2,5.6,14.4,35.7,15/10/2024 : -2 MW vers BOUCAU,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,12.2,56.0,,2.0,6.2,21.0,63.0,Mutation d'un transformateur de 20 en 36 MVA,14.4,35.7,42.2,,,,,,,,,,,,,,,,55,25.199999999999996,55.7,100,0.0,0.0
1532,LIORA,LIORAN,AUVERGNE-RHONE-ALPES,41%,680729.25,6443588.5,1.2,2.4,12.7,1.6,2.4,16.3,--,41.11 k€/MW,,0.0,2.1,Création d'un second transformateur 225/63kVàSavignac. Construction d'une liaison 63kV entre Neussargues et Savignac. Augmentation des capacités de transit de la liaison 63kV Massiac - Savignac,0.0, <= 0.0MW,2.4,20.0,,2.0,1.8,21.0,63.0,Mutation d'un transformateur de 20 en 36éMVA,2.4,16.3,17.8,,,,,,,,,,,,,,,,45,11.0,20.3,100,0.0,0.0
1533,LISIE,LISIEUX,BASSE-NORMANDIE,83%,497292.6,6897137.5,1.0,0.3,1.7,2.6,0.8,3.0,,11.94 k€/MW,,0.0,2.1,,0.0, > 15.0MW,11.7,102.0,,3.0,11.3,21.0,90.0,,0.8,13.5,109.9,,,,,,,,,,,,,,,,55,45.9,16.9,15,93.415,45.9
1535,LISLE,LISLET,HAUTS-DE-FRANCE,54%,773192.8,6954258.5,0.1,2.2,2.6,4.1,4.6,4.9,!,75.29 k€/MW,0.0,0.0,0.0,,0.0, <= 0.0MW,2.6,144.0,,4.0,2.3,20.0,90.0, ,4.6,7.3,137.6,,,,,,,,,,,,,,,,7,133.92,16.0,11,122.464,122.464
1536,LISLO,LISLOCH,BRETAGNE,96%,208136.95,6770692.5,0.4,0.0,0.6,1.7,0.0,1.0,,19.94 k€/MW,,0.0,0.8,,, > 15.0MW,0.6,72.0,,2.0,6.6,21.0,62.0,,1.2,2.2,75.7,,,,,,,,,,,,,,,,45,39.6,3.9000000000000004,5,71.915,39.6
1537,LIVAR,LIVAROT,BASSE-NORMANDIE,83%,491732.03,6882767.0,0.2,0.6,0.2,1.1,2.7,1.0,,11.94 k€/MW,,0.0,0.8,,0.0, > 15.0MW,0.2,40.0,,2.0,2.7,21.0,90.0,,2.7,3.1,38.9,,,,,,,,,,,,,,,,33,26.799999999999997,6.9,17,32.287,26.799999999999997
1539,LIVIE,LIVIERE,OCCITANIE,35%,698523.7,6233080.0,0.6,19.8,13.6,8.7,30.3,34.0,_,81.6 k€/MW,,0.0,0.0,,0.0, <= 0.0MW,13.6,342.0,,4.0,10.5,21.0,225.0,,30.3,44.4,313.6,,,,,,,,,,,,,,,,15,290.7,83.4,26,232.06400000000002,232.06400000000002
1540,LIZY ,LIZY-SUR-OURCQ,ILE DE FRANCE,70%,700965.2,6880931.5,0.7,0.0,3.1,4.0,1.3,3.8,,1.83 k€/MW,,0.0,3.8,,0.0, > 15.0MW,2.1,40.0,,2.0,5.8,21.0,63.0,,1.3,4.1,38.0,,,,,,,,,,,,,,,,72,11.200000000000001,9.399999999999999,24,28.88,11.200000000000001
1541,LOCHE,LOCHES,CENTRE,91%,547639.8,6673234.5,3.6,9.9,0.0,10.6,9.9,13.5,2024-04-22 : +1 MW depuis CHATILLON (-SUR INDRE) | 2024-06-01 : +1 MW depuis GARDES (LES) | 2024-10-01 : +3.5 MW depuis EURE-ET-LOIR,62.75 k€/MW,,0.0,0.0,,, > 15.0MW,0.5,72.0,,2.0,8.9,21.0,89.0,,9.9,14.0,60.4,,,,,,,,,,,,,,,,61,28.080000000000002,34.5,57,25.972,25.972
1542,LOCMA,LOCMALO,BRETAGNE,96%,242017.38,6791407.0,2.7,35.0,17.3,4.4,35.0,55.0,"Transfert de -1 MW le 16/12/2019, transfert +7 MW 23/08/21, adaptation +36 MW 16/12/22",19.94 k€/MW,,0.0,19.7,,, > 15.0MW,0.2,20.0,,1.0,2.8,21.0,62.0,Mutation d'un transformateur de 20 MVA,35.0,37.9,0.0,,,,,,,,,,,,,,,,70,6.000000000000001,77.3,100,0.0,0.0
1543,LOCQU,LOCQUELTAS,BRETAGNE,96%,269972.66,6754393.0,2.1,0.7,0.0,2.6,1.8,2.0,"Transfert de -7 MW le 04/10/2018, transfert -9 MW 23/08/21, transfert -1 MW 15/05/22",19.94 k€/MW,,0.0,0.2,,, > 15.0MW,0.0,36.0,,1.0,3.2,21.0,62.0, ,2.9,4.8,33.6,,,,,,,,,,,,,,,,44,20.160000000000004,9.2,27,24.528,20.160000000000004
1544,LODEV,LODEVE,OCCITANIE,35%,725223.06,6291622.5,0.0,0.4,22.6,3.7,3.1,23.0,_,81.6 k€/MW,,0.0,0.0,,, <= 0.0MW,2.6,92.0,,3.0,3.0,21.0,63.0,Mutation d'un transformateur de 20 en 36 MVA,3.1,25.8,88.3,,,,,,,,,,,,,,,,16,77.28,32.6,36,56.512,56.512
1545,LOGEL,LOGELBACH,GRAND-EST,78%,1020514.06,6784646.5,0.2,0.8,1.5,3.6,0.8,2.5,Non,81.82 k€/MW,Non,0.0,2.2,.,0.0, > 15.0MW,1.5,108.0,,3.0,7.5,21.0,63.0,,0.8,2.5,111.1,,,,,,,,,,,,,,,,34,71.27999999999999,6.9,6,104.43399999999998,71.27999999999999
1546,LOGER,LOGERIE,HAUTE-NORMANDIE,97%,524410.3,6892755.5,1.4,3.3,1.8,4.1,3.3,6.5,,12.40 k€/MW,,0.0,4.5,,0.0, > 15.0MW,0.0,72.0,,2.0,8.0,21.0,89.0,,3.3,5.5,72.6,,,,,,,,,,,,,,,,55,32.4,12.899999999999999,17,60.257999999999996,32.4
1547,LOGES,LOGES (LES),ILE DE FRANCE,70%,647383.44,6831616.5,3.9,0.9,2.1,1.5,1.7,6.9,,1.83 k€/MW,,0.0,6.9,,0.0, > 15.0MW,2.1,306.0,,3.0,9.3,20.0,225.0,,5.2,11.3,308.5,,,,,,,,,,,,,,,,15,260.09999999999997,14.5,4,296.15999999999997,260.09999999999997
1548,LOING,LOING,ILE DE FRANCE,70%,685095.1,6810248.5,0.1,0.0,1.0,3.6,0.0,1.1,,1.83 k€/MW,,0.0,1.1,,0.0, > 15.0MW,1.0,72.0,,2.0,7.1,21.0,63.0,,1.2,2.3,77.1,,,,,,,,,,,,,,,,49,36.72,5.9,7,71.70299999999999,36.72
1550,LOISI,LOISIVIERE,BASSE-NORMANDIE,83%,451203.66,6836925.5,13.4,1.6,0.0,5.4,4.0,14.6,,11.94 k€/MW,,0.0,1.9,,0.0, > 15.0MW,14.6,72.0,,2.0,6.7,16.0,90.0,,4.0,17.4,69.4,,,,,,,,,,,,,,,,46,38.88,26.799999999999997,38,43.028000000000006,38.88
1551,LONG4,LONGCHAMP,ILE DE FRANCE,70%,647609.75,6863015.0,0.0,0.0,0.3,0.1,0.0,0.3,,1.83 k€/MW,,0.0,0.2,,0.0, <= 0.0MW,0.3,120.0,,2.0,15.6,20.0,225.0,,0.0,0.3,135.5,,,,,,,,,,,,,,,,65,42.0,0.4,0,135.5,42.0
1552,LONG5,LONGUYON,GRAND-EST,78%,888808.9,6930049.5,0.6,11.9,0.8,2.2,12.3,13.3,18/11/2024 : -22.7 MW,81.82 k€/MW,Non,0.0,31.1,Schéma GE: raccordement d'un transformateur 63/20 kV - 36 MVA,0.0, <= 0.0MW,0.0,72.0,,2.0,2.6,21.0,62.0,Ajout d'un transformateur de 36 MVA,12.3,36.4,60.1,,,,,,,,,,,,,,,,18,59.040000000000006,50.9,84,9.616000000000001,9.616000000000001
1553,LONG6,LONGEFAN,AUVERGNE-RHONE-ALPES,41%,963198.94,6470605.5,0.0,0.1,9.8,13.3,0.3,9.9,--,41.11 k€/MW,,0.0,9.9,Création d'un automate d'effacement de la production,0.0, <= 0.0MW,9.7,40.0,,2.0,2.3,21.0,63.0,,0.3,10.1,41.6,,,,,,,,,,,,,,,,28,28.799999999999997,23.700000000000003,56,18.304,18.304
1554,LONG7,LONGEVILLE,PAYS-DE-LA-LOIRE,24%,355580.53,6602394.5,1.1,6.2,11.7,15.2,9.5,19.0,!,45.09 k€/MW,,0.0,19.0,,, > 15.0MW,11.7,108.0,,3.0,10.9,21.0,90.0,,10.7,23.6,93.0,,,,,,,,,,,,,,,,50,54.0,48.3,51,45.57,45.57
1555,LONG8,LONGUE,PAYS-DE-LA-LOIRE,24%,466988.84,6700758.0,1.1,2.8,34.1,9.7,3.5,38.0,!,45.09 k€/MW,,0.0,38.0,,, > 15.0MW,34.0,72.0,,2.0,7.5,21.0,90.0,,3.5,38.7,66.2,,,,,,,,,,,,,,,,52,34.56,51.900000000000006,78,14.563999999999998,14.563999999999998
1557,LONGC,LONGCHAMP,NOUVELLE-AQUITAINE,77%,481965.06,6551272.0,6.0,22.9,0.0,8.1,26.6,27.9,10/02/2022 : +1 MW depuis AIGRE | 04/05/2022 : +2 MW depuis AIGRE | 31/05/2022 : +2 MW depuis AIGRE | 06/08/2024 : +2 MW depuis CONFOLENTAIS,89.94 k€/MW,,0.0,0.0,Injection LONGCHAMP 90 kV via RUFFECOIS,, <= 0.0MW,0.0,76.0,,3.0,3.5,15.0,90.0,,26.6,31.6,44.8,,,,,,,,,,,,,,,,23,58.52,66.30000000000001,100,0.0,0.0
1560,LORIE,LORIENT,BRETAGNE,96%,224322.69,6758686.0,0.8,0.9,2.3,1.9,0.9,4.0,"Transfert de -11 MW le 17/10/2016, transfert de -2 MW le 22/05/2017",19.94 k€/MW,,0.0,3.5,,, > 15.0MW,0.3,148.0,,5.0,11.2,15.0,62.0,,0.9,2.0,156.4,,,,,,,,,,,,,,,,37,93.24,4.8,3,151.708,93.24
