,Code,Nom,S3REnR,Taux d'affection des capacités réservées,X,Y,Puissance des projets en service du S3REnR en cours,Puissance des projets en développement du S3REnR en cours,Capacité d'accueil réservée au titre du S3REnR qui resteàaffecter,Puissance EnR déjé raccordée,Puissance des projets EnR en développement,Capacité réservée aux EnR au titre du S3REnR,Attention: la valeur de la capacité réservée a été modifiée sur ce poste,Quote-Part unitaire actualisée,Attention : Le S3REnR de la région est saturé,dont la convention de raccordement est signée,"Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de transport ","Travaux RTE indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",RTE - Capacité d'accueil en HTB2,RTE - Capacité d'accueil en HTB1,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source",Puissance cumulée des transformateurs existants,Nombre de transformateurs supplémentaires possible,Nombre de transformateurs existants,Consommation minimale,Tension aval,Tension amont,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible",Puissance en file d'attente,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution,"Capacité d'accueil réservée au titre du S3REnR, restante sans travaux sur le poste source.1",Puissance cumulée des transformateurs existants.1,Nombre de transformateurs supplémentaires possible.1,Nombre de transformateurs existants.1,Consommation minimale.1,Tension aval.1,Tension amont.1,"Travaux GRD indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible.1",Puissance en file d'attente.1,Puissance en file d'attente hors S3REnR majorée de la capacité réservée du S3REnR.1,Capacité de transformation HTB/HTA restante disponible pour l'injection sur le réseau public de distribution.1,"Travaux indiqués dans le schéma ou dans son état initial, permettant d'augmenter la capacité réservée disponible","Capacité d'accueil réservée au titre du S3REnR, disponible vue du réseau public de distribution en HTB",GRDHTB - Capacité d'accueil en HTB2,GRDHTB - Capacité d'accueil en HTB1,ratio_congestion_soutirage,RAM_soutirage,projet_injection,ratio_congestion_injection,RAM_injection,min_RAM
1561,LORIO,LORIOL,AUVERGNE-RHONE-ALPES,41%,843980.8,6408146.0,2.6,10.4,7.9,11.8,10.8,20.9,--,41.11 k€/MW,,0.0,0.0,Création d'un nouveau transformateur 225/63kV au poste de LogisNeuf. Création d'un poste 400/225kVàLogisneuf,0.0, <= 0.0MW,0.0,108.0,,3.0,8.3,16.0,63.0,,10.8,21.3,93.7,,,,,,,,,,,,,,,,38,66.96,43.900000000000006,46,50.598000000000006,50.598000000000006
1562,LORRI,LORRIS,CENTRE,91%,664608.25,6754217.0,2.3,74.1,0.6,4.5,74.3,77.0,2024-06-01 : +12 MW depuis BROU | 2024-10-01 : +28 MW depuis SERMAISES | 2024-10-01 : +12 MW depuis Adaptation,62.75 k€/MW,,0.0,12.0,,, > 15.0MW,0.0,20.0,,1.0,2.7,21.0,89.0,,74.3,77.2,0.0,,,,,,,,,,,,,,,,67,6.6,156.0,100,0.0,0.0
1563,LOSCO,LOSCOAT,BRETAGNE,96%,146195.94,6840202.0,1.4,0.5,0.1,3.3,1.0,2.0,,19.94 k€/MW,,0.0,1.4,,0.0, > 15.0MW,0.0,108.0,,3.0,11.0,20.0,63.0,,2.2,3.6,113.5,,,,,,,,,,,,,,,,50,54.0,7.9,6,106.69,54.0
1564,LOUBE,LOUBERT,NOUVELLE-AQUITAINE,77%,511477.75,6535351.5,5.1,23.6,2.6,11.5,37.0,31.3,27/05/2024 : +12 MW depuis ROM,89.94 k€/MW,,0.0,0.0,Création LS 90 kV MONTBRON - LA ROCHEFOUCAULD,, <= 0.0MW,0.0,92.0,,3.0,5.1,20.0,90.0,Ajout d'un transformateur de 36 MVA + Mutation d'un transformateur de 20 en 36 MVA,37.0,44.7,48.6,,,,,,,,,,,,,,,,27,67.16,93.2,100,0.0,0.0
1565,LOUD6,LOUDES,AUVERGNE-RHONE-ALPES,41%,761607.5,6445804.5,3.9,27.3,0.1,9.4,28.5,31.3,Trsf de +8MW le 29/08/23. Trsf de +2 MW le 30/09/24,41.11 k€/MW,,0.0,0.0,Sans Objet,0.0, <= 0.0MW,0.0,20.0,,1.0,2.3,21.0,62.0,Mutation d'un transformateur de 20 en 36éMVA,28.5,37.5,0.0,,,,,,,,,,,,,,,,57,8.600000000000001,75.4,100,0.0,0.0
1566,LOUD7,LOUDENVIELLE,OCCITANIE,35%,487914.0,6190817.0,0.0,0.0,3.0,0.6,0.0,3.0,-,81.6 k€/MW,,0.0,1.0,Travaux de création du poste déAURE (Etat inital),0.0, <= 0.0MW,1.0,20.0,,1.0,2.3,21.0,63.0,,,3.0,0.0,,,,,,,,,,,,,,,,57,8.600000000000001,3.6,100,0.0,0.0
1567,LOUDE,LOUDEAC,BRETAGNE,96%,273028.8,6800866.5,21.7,6.1,0.0,4.5,6.7,26.4,"Transfert de -4 MW le 22/05/2017, transfert de +7 MW le 29/07/2020, transfert +4,4 MW 15/05/22, transfert +2 MW 17/01/24",19.94 k€/MW,,0.0,0.1,,, > 15.0MW,0.3,72.0,,2.0,10.3,21.0,62.0,,6.7,28.7,71.1,,,,,,,,,,,,,,,,71,20.880000000000003,39.9,56,31.283999999999995,20.880000000000003
1568,LOUDU,LOUDUN,NOUVELLE-AQUITAINE,77%,477893.44,6660003.0,10.9,0.4,4.2,38.8,49.9,15.5,15/02/2023 : -16 MW vers VALDIVIENNE | 27/03/2024 : -3.5 MW vers THOUARS | 30/06/2024 : -2 MW vers THOUARS,89.94 k€/MW,,2.4,0.0,Création LS 90 kV LOUDUN - THOUARS,, <= 0.0MW,35.7,72.0,,2.0,1.7,21.0,89.0,,0.4,33.5,72.3,7.5,76.0,0.0,2.0,6.5,20 kV,90 kV,,,23.1,39.7,,,,,11,64.08,122.19999999999999,100,0.0,0.0
1569,LOUE ,LOUE,PAYS-DE-LA-LOIRE,24%,466346.66,6770332.5,1.0,30.5,38.5,10.0,34.2,70.0,!,45.09 k€/MW,,0.0,72.0,!,, > 15.0MW,0.0,36.0,,1.0,5.0,21.0,90.0,,34.2,73.7,0.0,,,,,,,,,,,,,,,,69,11.160000000000002,117.9,100,0.0,0.0
1570,LOUHA,LOUHANS,BOURGOGNE-FRANCHE-COMTé,61%,869367.7,6615586.5,3.7,21.3,0.0,9.6,21.3,24.7,Transfert(s) de capacité : +6.5 MW le 12/05/2023 et transfert de capacité notifié le 19/07/2024 de 5.4 MW  et  Notifié le 06/12/2024 : +2.8 MW,72.71 k€/MW,,0.0,0.0,,0.0, > 15.0MW,0.9,72.0,,2.0,7.1,20.0,63.0,,21.3,25.9,48.2,,,,,,,,,,,,,,,,49,36.72,56.8,100,0.0,0.0
1572,LOUP ,LE LOUP,PROVENCE-ALPES-COTE-D'AZUR,17%,1021645.8,6299441.0,0.0,0.0,20.0,0.9,0.0,20.0,_,76.07 k€/MW,,0.0,20.0,,, <= 0.0MW,20.0,40.0,,2.0,4.2,20.0,63.0,,0.0,20.0,40.6,,,,,,,,,,,,,,,,52,19.2,20.9,51,19.894000000000002,19.2
1573,LOUPE,LA LOUPE,CENTRE,91%,551858.25,6820687.5,1.5,3.3,0.7,4.5,3.4,5.5,2024-04-22 : +1 MW depuis BROU | 2024-06-01 : +1 MW depuis POIRIER | 2024-10-01 : +1.5 MW depuis BROU,62.75 k€/MW,,0.0,0.0,,, > 15.0MW,0.7,40.0,,2.0,3.9,21.0,89.0,,3.4,5.6,35.9,,,,,,,,,,,,,,,,48,20.8,13.5,37,22.617,20.8
1574,LOUPI,LOUPIAN,OCCITANIE,35%,749120.94,6263116.0,0.1,0.1,49.8,4.5,0.2,50.0,_,81.6 k€/MW,,0.0,40.0,renforcement de la ligne Balaruc-Loupian (Etat initial),, <= 0.0MW,0.0,36.0,,1.0,3.9,21.0,62.0,Ajout de 2 transformateurs de 20 et 36 MVA,0.2,50.1,35.1,,,,,,,,,,,,,,,,54,16.56,54.800000000000004,100,0.0,0.0
1575,LOUSL,LOUSLITGES,OCCITANIE,35%,470689.62,6280225.0,0.4,6.0,20.6,8.1,6.7,27.0,8/24: -2MW vers MIRANDE,81.6 k€/MW,,0.0,0.0,Travaux de réhabilitation de la ligne 63 kV GIMONT-ISLE-JOURDAIN (Etat initial),0.0, <= 0.0MW,0.0,10.0,,1.0,1.4,21.0,63.0,Ajout d'un transformateur de 36 MVA,6.7,27.7,0.0,,,,,,,,,,,,,,,,70,3.0000000000000004,42.5,100,0.0,0.0
1576,LOUV5,LOUVET,HAUTE-NORMANDIE,97%,509842.5,6919858.0,0.6,0.4,0.0,1.7,0.8,1.0,,12.40 k€/MW,,0.0,0.7,,0.0, > 15.0MW,0.1,72.0,,2.0,6.2,20.0,90.0,,0.8,1.9,75.7,,,,,,,,,,,,,,,,43,41.040000000000006,4.4,5,71.915,41.040000000000006
1577,LOUVE,LOUVECIENNES,ILE DE FRANCE,70%,634696.6,6861465.5,0.0,0.0,0.3,0.0,0.0,0.3,,1.83 k€/MW,,0.0,0.3,,0.0, > 15.0MW,0.3,108.0,,3.0,10.9,15.0,63.0,,0.0,0.3,118.6,,,,,,,,,,,,,,,,50,54.0,0.3,0,118.6,54.0
1578,LUBER,LUBERSAC,NOUVELLE-AQUITAINE,77%,575135.7,6482343.5,4.0,8.3,4.8,10.6,8.9,17.1,06/08/2024 : +2 MW depuis ROCHEFOUCAULD (LA) | 15/10/2024 : -2 MW vers BRADASCOU,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,0.0,30.0,,2.0,2.7,16.0,90.0,,8.9,11.7,13.2,,,,,,,,,,,,,,,,45,16.5,31.2,100,0.0,0.0
1579,LUC  ,LE LUC,OCCITANIE,35%,549630.94,6337079.0,0.2,3.7,5.1,4.7,4.4,9.0,7/2024: -3MW vers STE ALAUZIE,81.6 k€/MW,,0.0,10.0,-,0.0, <= 0.0MW,8.0,40.0,,2.0,4.8,21.0,63.0,,4.4,9.7,36.2,,,,,,,,,,,,,,,,60,16.0,18.8,51,17.738,16.0
1580,LUCON,LUCON,PAYS-DE-LA-LOIRE,24%,379872.5,6605119.0,0.8,14.1,2.1,21.6,15.9,17.0,2024-09-09 : +1 MW depuis FREIGNE | 2024-11-13 : +1 MW depuis GRUES (LES),45.09 k€/MW,,0.0,13.0,,, > 15.0MW,0.0,108.0,,3.0,10.6,20.0,90.0,,18.4,21.3,78.6,,,,,,,,,,,,,,,,49,55.08,58.8,74,20.436,20.436
1581,LUCY ,LUCY,BOURGOGNE-FRANCHE-COMTé,61%,803167.7,6619354.0,0.0,3.0,5.0,25.7,5.5,8.0,Transfert de capacité notifié le 19/07/2024 de -7 MW,72.71 k€/MW,,0.0,0.0,,0.0, <= 0.0MW,0.5,56.0,,2.0,6.7,21.0,63.0,,5.5,6.0,29.5,,,,,,,,,,,,,,,,59,22.96,37.2,100,0.0,0.0
1582,LUDE ,LE LUDE,PAYS-DE-LA-LOIRE,24%,486204.25,6731764.5,0.6,2.7,44.7,2.6,4.3,48.0,!,45.09 k€/MW,,0.0,68.0,,, <= 0.0MW,47.4,72.0,,2.0,3.0,21.0,90.0,,4.3,49.5,68.1,,,,,,,,,,,,,,,,20,57.6,56.4,82,12.258000000000003,12.258000000000003
1583,LUDRE,LUDRES,GRAND-EST,78%,935208.0,6839288.5,0.6,0.3,1.8,2.5,1.0,2.7,18/11/2024 : -9.27 MW,81.82 k€/MW,Non,0.0,10.9,.,0.0, > 15.0MW,11.1,72.0,,2.0,7.9,21.0,62.0,,1.0,12.7,76.3,,,,,,,,,,,,,,,,54,33.12,16.2,21,60.277,33.12
1584,LUGRA,LUGRA,OCCITANIE,35%,475242.22,6235541.0,0.5,1.9,22.6,5.5,3.0,25.0,-,81.6 k€/MW,,0.0,0.0,Travaux déajout d'un disjoncteur sur le départ CAMPAN 2 au poste de MONLOO (renforcement),0.0, <= 0.0MW,0.0,10.0,,1.0,1.3,21.0,63.0,,3.0,26.2,2.8,,,,,,,,,,,,,,,,65,3.5,34.7,100,0.0,0.0
1585,LUISA,LUISANT,CENTRE,91%,586767.3,6815279.5,0.0,0.0,1.0,0.0,0.0,1.0,!,62.75 k€/MW,,0.0,1.0,,, > 15.0MW,1.0,72.0,,2.0,3.8,16.0,89.0,,,1.0,0.0,,,,,,,,,,,,,,,,26,53.28,1.0,100,0.0,0.0
1586,LUMBR,LUMBRES,HAUTS-DE-FRANCE,54%,636867.06,7067436.0,0.3,0.7,32.2,2.8,0.7,33.2,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,5.3,72.0,,2.0,9.3,21.0,89.0,,0.7,33.2,77.9,,,,,,,,,,,,,,,,64,25.919999999999998,36.7,47,41.287000000000006,25.919999999999998
1588,LUNES,LUNES,OCCITANIE,35%,700314.06,6230012.0,0.6,2.4,26.0,7.0,2.8,29.0,_,81.6 k€/MW,,0.0,24.4,,, <= 0.0MW,25.9,108.0,,3.0,11.3,21.0,63.0,,6.3,32.9,106.0,,,,,,,,,,,,,,,,52,51.839999999999996,42.7,40,63.599999999999994,51.839999999999996
1589,LURE ,LURE,BOURGOGNE-FRANCHE-COMTé,61%,962949.9,6736234.5,0.0,1.8,1.2,2.2,2.3,3.0,-,72.71 k€/MW,,0.0,0.0,,0.0, <= 0.0MW,1.2,60.0,,3.0,5.4,21.0,63.0,,2.3,3.6,59.1,,,,,,,,,,,,,,,,45,33.0,8.1,13,51.417,33.0
1590,LUSIG,LUSIGNAN (REGIE DE LA VIENNE),NOUVELLE-AQUITAINE,77%,477903.34,6595883.0,2.9,58.6,2.8,76.8,58.6,64.3,08/08/2024 : +15 MW depuis VIENNE ET GARTEMPE,89.94 k€/MW,,0.8,0.0,Création LS 90 kV ROM - LUSIGNAN,, <= 0.0MW,0.0,80.0,1.0,2.0,0.2,20 kV,90 kV,,,57.3,24.3,,,,,,,,,,,,,,,,1,79.2,192.7,100,0.0,0.0
1591,LUTTE,LUTTERBACH,GRAND-EST,78%,1018819.44,6747712.0,0.5,2.2,0.2,32.5,3.1,2.9,18/11/2024 : -29.06 MW,81.82 k€/MW,Non,0.0,31.0,.,0.0, > 15.0MW,29.3,72.0,,2.0,8.7,21.0,63.0,,3.1,32.9,71.2,,,,,,,,,,,,,,,,60,28.8,68.5,96,2.8480000000000025,2.8480000000000025
1594,LUXEU,LUXEUIL,BOURGOGNE-FRANCHE-COMTé,61%,953808.6,6751537.5,0.2,0.5,0.0,1.7,0.8,0.2,Transfert de capacité(s) : Notifié le 06/12/2024 de -2.8 MW,72.71 k€/MW,,0.0,0.0,,0.0, <= 0.0MW,2.2,40.0,,2.0,5.1,21.0,63.0,,0.8,3.2,42.6,,,,,,,,,,,,,,,,63,14.8,5.7,13,37.062,14.8
1595,LUXEY,LUXEY,NOUVELLE-AQUITAINE,77%,419034.94,6355272.5,11.1,0.3,2.7,1.2,0.3,14.1,.,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,2.7,108.0,,3.0,0.9,20.0,63.0,,0.3,14.1,107.4,,,,,,,,,,,,,,,,4,103.67999999999999,15.6,14,92.364,92.364
1596,LUZ  ,LUZ,OCCITANIE,35%,453580.5,6201534.0,0.0,0.0,1.0,5.9,0.0,1.0,-,81.6 k€/MW,,0.0,0.0,Travaux de réhabilitation de la file 63 kV LUZ - PONT DE LA REINEàSOULOM (Etat initial),0.0, <= 0.0MW,0.0,20.0,,2.0,2.4,21.0,63.0,,0.0,1.0,14.8,,,,,,,,,,,,,,,,60,8.0,6.9,46,7.992000000000001,7.992000000000001
1597,LUZE ,DE LUZE,NOUVELLE-AQUITAINE,77%,417627.4,6424612.0,0.3,0.0,1.7,0.4,0.0,2.0,.,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,1.7,102.0,,3.0,12.0,16.0,63.0,,0.0,2.0,102.6,,,,,,,,,,,,,,,,58,42.84,2.4,2,100.54799999999999,42.84
1599,LUZI1,LUZIERES I,OCCITANIE,35%,652955.56,6285343.0,0.9,8.3,16.8,5.2,9.8,26.0,9/2024: -6MW vers LACAUNE,81.6 k€/MW,,0.0,18.1,-,0.0, <= 0.0MW,8.8,40.0,,2.0,3.6,21.0,63.0,Mutation d'un transformateur de 20 en 36 MVA,9.8,31.5,28.6,,,,,,,,,,,,,,,,45,22.0,46.5,100,0.0,0.0
1600,M.ACH,MOTHE ACHARD,PAYS-DE-LA-LOIRE,24%,344295.47,6624520.5,1.3,4.7,40.0,14.2,7.3,46.0,!,45.09 k€/MW,,0.0,46.0,!,, > 15.0MW,20.5,56.0,,2.0,8.2,21.0,90.0,,7.3,48.6,42.8,,,,,,,,,,,,,,,,73,15.120000000000001,70.1,100,0.0,0.0
1603,M.BL6,MONTAIGUT-LE-BLANC,AUVERGNE-RHONE-ALPES,41%,706816.25,6497144.5,0.9,4.2,7.1,4.2,4.2,12.2,--,41.11 k€/MW,,0.0,2.2,Augmentation des capacités des transit de la liaison 63kV ISSOIRE piquage MONTAIGUT LE BLANC,0.0, <= 0.0MW,0.0,36.0,,1.0,2.7,21.0,62.0,Renforcement d'un transformateur de 20 en 36 MVA,4.2,12.2,30.3,,,,,,,,,,,,,,,,37,22.68,20.6,67,9.998999999999999,9.998999999999999
1604,M.BRU,MAS-BRUNO,OCCITANIE,35%,688417.4,6177403.0,0.9,18.8,5.3,31.6,22.7,25.0,_,81.6 k€/MW,,0.0,0.0,Renforcement transformation Baixas,0.0, <= 0.0MW,5.3,414.0,,6.0,17.2,20.0,225.0,,22.7,28.9,376.9,,,,,,,,,,,,,,,,20,331.20000000000005,83.19999999999999,22,293.98199999999997,293.98199999999997
1605,M.CAM,LA MAL CAMPEE,GRAND-EST,78%,820644.7,6966815.0,0.5,0.4,1.0,1.0,0.4,1.9,28/12/2023 : -15 MW.. 18/11/2024 : -0.13 MW,81.82 k€/MW,Non,0.0,1.6,.,0.0, > 15.0MW,16.1,72.0,,2.0,7.7,16.0,63.0,,0.4,17.0,78.3,,,,,,,,,,,,,,,,53,33.839999999999996,18.4,23,60.291,33.839999999999996
1606,M.GOU,MAS-DE-GOUIN,PROVENCE-ALPES-COTE-D'AZUR,17%,845777.94,6282323.0,0.8,17.3,17.9,11.0,18.1,36.0,_,76.07 k€/MW,,0.0,33.4,,, <= 0.0MW,0.0,72.0,,2.0,6.0,21.0,63.0,,18.1,36.8,48.8,,,,,,,,,,,,,,,,41,42.480000000000004,65.9,100,0.0,0.0
1607,M.HER,LA MOTHE ST HERAY,NOUVELLE-AQUITAINE,77%,460196.94,6588241.5,2.3,2.4,7.3,52.6,2.4,12.0,28/02/2024 : -6 MW vers LUSIGNAN | 30/06/2024 : -1 MW vers ST-MAIXENT | 30/06/2024 : -3 MW vers TREVINS,89.94 k€/MW,,0.0,0.0,Création LS 90 kV ROM - LUSIGNAN,, <= 0.0MW,0.0,72.0,,2.0,3.0,20.0,90.0,!,,19.7,17.0,,,,,,,,,,,,,,,,20,57.6,74.7,100,0.0,0.0
1609,M.JUL,LA MOTTE JULIENNE,HAUTS-DE-FRANCE,54%,704613.06,7032257.5,0.0,0.9,11.9,1.2,0.9,12.8,!,75.29 k€/MW,0.0,0.0,0.0,,, > 15.0MW,11.9,72.0,,2.0,10.7,20.0,90.0,,0.9,12.8,80.6,,,,,,,,,,,,,,,,74,18.72,14.9,18,66.092,18.72
1610,M.LAN,MONTAGNY-LES-LANCHES,AUVERGNE-RHONE-ALPES,41%,937102.2,6534109.5,0.6,0.5,6.4,2.7,1.6,7.5,--,41.11 k€/MW,,0.0,7.3,Sans Objet,0.0, > 15.0MW,6.3,72.0,,2.0,7.1,20.0,63.0,,1.6,8.5,74.8,,,,,,,,,,,,,,,,49,36.72,12.8,17,62.083999999999996,36.72
1611,M.LAR,MONT-LARRON,NOUVELLE-AQUITAINE,77%,600151.9,6525251.5,0.0,0.0,2.0,18.4,0.0,2.0,31/03/2022 : +2 MW depuis VEYTISOU | 29/06/2022 : +2 MW depuis VEYTISOU | 28/06/2024 : -2 MW vers BONNAT,89.94 k€/MW,,0.0,0.0,.,0.0, <= 0.0MW,4.0,22.0,,1.0,0.0,30.0,90.0,,0.0,2.0,22.0,,,,,,,,,,,,,,,,0,22.0,20.4,92,1.7599999999999991,1.7599999999999991
1612,M.LIL,MOULINS-LILLE,HAUTS-DE-FRANCE,54%,704642.7,7058193.0,0.0,0.0,2.1,0.6,0.8,2.1,!,75.29 k€/MW,0.0,0.0,0.0,,0.0,,2.0,160.0,,4.0,19.5,16.0,227.0,,0.8,2.9,178.1,,,,,,,,,,,,,,,,60,64.0,4.3,2,174.53799999999998,64.0
