,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
19/03/2023,0.03,-0.09,-0.08,0.14,0.01,0.16,-0.02,-0.14,-0.08,0.08,-0.09,0.09,0.10,-0.13,0.06,-0.04,-0.10,0.15,-0.07,0.01,-0.12,0.07,-0.04,0.10
20/03/2023,0.05,-0.04,0.11,-0.13,-0.04,-0.12,0.04,0.13,-0.05,0.06,-0.11,0.10,0.00,0.09,0.08,-0.16,0.06,0.03,0.08,-0.17,-0.07,-0.07,-0.02,0.17
21/03/2023,0.08,0.08,-0.04,-0.13,0.17,0.00,-0.13,-0.03,-0.17,0.06,0.05,0.07,-0.08,-0.08,0.09,0.08,0.06,-0.01,0.11,-0.16,-0.09,0.03,-0.08,0.13
22/03/2023,0.05,-0.17,0.03,0.09,0.03,0.04,0.10,-0.17,-0.17,0.10,0.00,0.07,-0.07,0.17,-0.04,-0.06,-0.03,-0.11,0.17,-0.02,-0.12,0.04,0.13,-0.04
23/03/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.13,0.02,0.01,-0.17
24/03/2023,-0.17,0.07,0.00,0.10,-0.09,-0.08,0.13,0.04,-0.04,-0.12,0.14,0.02,0.04,0.04,0.08,-0.17,-0.06,0.00,0.17,-0.10,-0.09,0.09,-0.08,0.08
25/03/2023,0.10,0.07,-0.02,-0.15,-0.03,-0.05,-0.09,0.17,0.08,0.05,0.03,-0.17,0.10,0.03,0.04,-0.17,-0.04,-0.13,0.05,0.12,-0.02,-0.09,-0.05,0.17
26/03/2023,0.06,-0.17,0.10,0.00,0.01,0.15,-0.16,0.00,0.07,0.09,-0.08,-0.08,0.04,-0.17,0.04,0.08,-0.09,-0.07,0.06,0.11,-0.13,0.15,-0.03,0.01
27/03/2023,0.01,-0.08,-0.08,0.16,-0.13,0.08,-0.04,0.08,-0.17,0.07,0.06,0.03,-0.12,0.11,0.05,-0.05,-0.13,0.01,-0.04,0.16,0.14,-0.09,0.02,-0.08
28/03/2023,0.13,0.01,-0.17,0.03,0.05,0.00,0.12,-0.17,-0.06,-0.07,0.17,-0.04,-0.04,-0.12,0.14,0.03,0.06,0.05,0.06,-0.17,-0.07,-0.01,-0.09,0.17
