,,,,,,,Limitations pérennes,,Limitations temporaires,,,,,,,,,,,,
Code,Nom,Région,Voltage,Validation comité,État,Priorité,Injection,Soutirage,Injection,Soutirage,Proposition de raccordement,Responsable,Capacité accueil HTB1,Date envoi D1,Semaine envoi,Date réception D1,Score Poste,GeopointPoste,Délai de raccordement (mois),Commentaire ,D1 envoyés
VLEMA,VILLEMANDEUR,CENTRE,225kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,22/04/2024,Semaine 17 avril 2024,,2,"47.993677493610335, 2.7164759112567554",,,1
BXGEN,BEAUGENCY,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de BEAUGENCY,Oswald,> 15.0MW,22/04/2024,Semaine 17 avril 2024,,,"47.78521531855449, 1.612087186857172",,,1
DONGE,DONGES (E.D.F. ET ELF FRANCE),PAYS-DE-LA-LOIRE,63kV,NOGO,Reçu,,0,2000,0,2000,Antenne sur le poste 63 kV de DONGES,Timothée,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,Friche industrielle,"47.31349925803171, -2.072509393341084",,,1
MESNI,MESNIL,BASSE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 90 kV de MESNIL,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,"1,5","49.072147637442, -1.0274637420709332",,,1
ODON,ODON,BASSE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 90 kV d'ODON,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,1,"49.19200336404561, -0.5299552622137077",,,1
PERIE,PERIERS,BASSE-NORMANDIE,90kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,1,"49.19470949114096, -1.4010536289829012",,,1
VASTO,VASTON,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de VASTON,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,1,"48.91438367899856, -0.19462795958748014",,,1
BARET,BARETTES,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de BARETTES,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,"1,5","49.84144740117144, 0.7178494253434763",,,1
CAMBO,CAMBOLLE,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de CAMBOLLE,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,1,"49.04140261535955, 1.0955159807612334",,,1
G.COU,GRAND-COURONNE,HAUTE-NORMANDIE,225kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 225 kV de GRAND COURONNE,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,"1,5","49.34988759101175, 0.9924298161970114",,,1
MTIVI,MONTIVILLIERS,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de MONTIVILLIERS,Pierre-Olivier,> 15.0MW,26/04/2024,Semaine 17 avril 2024,,1,"49.53782378454674, 0.20560663620408912",,,1
BRAIN,BRAINS,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 225 kV de BRAINS,Timothée,> 15.0MW,29/04/2024,Semaine 18 avril 2024,15/07/2024,1,"47.17333251463387, -1.6933810526379593",,,1
SSNAZ,ST-NAZAIRE,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,0,2000,0,2000,Antenne sur le poste 225 kV de SAINT NAZAIRE,Timothée,> 15.0MW,29/04/2024,Semaine 18 avril 2024,15/07/2024,3,"47.29110137096087, -2.19824172345174",,,1
G.LIE,GRAND LIEU,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de GRAND LIEU,Timothée,> 15.0MW,29/04/2024,Semaine 18 avril 2024,,1,"47.050564128277856, -1.61153271942693",,,1
FREIG,FREIGNE,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,2000,Antenne sur le poste 90 kV de FREIGNE,Timothée,> 15.0MW,29/04/2024,Semaine 18 avril 2024,15/07/2024,1,"47.55515744953185, -1.0550497659725617",,,1
THEVA,THEVALLES,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,2000,0,Antenne sur le poste 90 kV de THEVALLES,Timothée,> 15.0MW,30/04/2024,Semaine 18 avril 2024,15/07/2024,1,"48.04108501140771, -0.7282249571175269",,,1
MTLU5,MONTLUC,PAYS-DE-LA-LOIRE,63kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur le poste 63 kV de MONTLUC,Timothée,> 15.0MW,30/04/2024,Semaine 18 avril 2024,,1,"47.27549047771759, -1.7286667478244964",,,1
VANDI,VANDIERES,GRAND-EST,225kV,GO,Reçu,,0,0,2000,0,Antenne sur le poste 63 kV de VANDIERE,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"48.95083352020437, 6.0225923124321605",,,1
PLOMB,PLOMBIERES,BOURGOGNE-FRANCHE-COMTÉ,150kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de PLOMBIERE,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"47.93214060946503, 6.438580221892962",,,1
H.PAU,HENRI-PAUL,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 63 kV de HENRY PAUL,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"46.74728942194766, 4.502744445177016",,,1
FRASN,FRASNE,BOURGOGNE-FRANCHE-COMTÉ,400kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de FRASNE,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"46.87207026445571, 6.162872815432975",,,1
COUCH,COUCHEY,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de COUCHEY,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"47.255175158426, 4.9997649578057155",,,1
TRUCH,TRUCHTERSHEIM,GRAND-EST,63kV,,En attente,,,,,,ce poste n'appartient pas à RTE mais à SER,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"48.65269249327651, 7.603606679346879",,Poste SER,1
SCHEE,SCHEER,GRAND-EST,400kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,1,"48.3569216838898, 7.51926065026449",,,1
B.HAM,BASSE-HAM,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de BASSE HAM,Oswald,> 15.0MW,02/05/2024,Semaine 18 mai 2024,,,"49.37002546840318, 6.228890355187605",,,1
WEPPE,WEPPES,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,0,2000,2000,2000,antenne vers le poste 225 kV de WEPPES,Pierre-Olivier,,02/05/2024,Semaine 18 mai 2024,,-,"50.644425629188504, 2.8966662172342814",,,1
MTVER,MONTVERDUN,AUVERGNE-RHÔNE-ALPES,63kV,NOGO,Reçu,,0,2000,2000,0,antenne sur MONTVERDUN 63 kV,Julien,> 15.0MW,03/05/2024,Semaine 18 mai 2024,,1,"45.71471011956248, 4.059351542991582",,,1
FONT,LA FONT,AUVERGNE-RHÔNE-ALPES,225kV,NOGO,Reçu,,2000,2000,0,0,antenne sur LAFONT 225 kV,Julien,> 15.0MW,03/05/2024,Semaine 18 mai 2024,,1,"46.15885840574079, 3.4718533383265777",,,1
BONNI,BONNIERES,ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Baptiste,> 15.0MW,06/05/2024,Semaine 19 mai 2024,,3,"49.022717144539605, 1.5594511514059983",,,1
CHEV5,CHEVIRE,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de CHEVIRE,Timothée,> 15.0MW,06/05/2024,Semaine 19 mai 2024,15/07/2024,2,"47.187760549014136, -1.6081614313852741",,,1
MOULI,LA MOULINELLE,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de LA MOULINELLE,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,,"49.17105016008982, 5.893495705243594",,,1
REBEU,REBEUVILLE,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de REBEUVILLE,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,"1,5","48.33783303909621, 5.6957445624764835",,,1
PHALS,PHALSBOURG,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV de PHALSBOURG,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,"1,5","48.774002050351896, 7.271757884288232",,,1
PFAFF,PFAFFENHOFFEN,GRAND-EST,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,"1,5","48.84669879355301, 7.6006663525272655",,Poste SER,1
OSNES,OSNES,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV d'OSNES,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,"1,5","49.65699496191194, 5.162356256340103",,,1
CXFFA,CHAUFFAILLES,BOURGOGNE-FRANCHE-COMTÉ,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,1,"46.21138286521432, 4.316910526815359",,,1
M.CAM,LA MAL CAMPEE,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV de LA MAL CAMPEE,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,,"49.78844938798017, 4.674087688121357",,,1
LUTTE,LUTTERBACH,GRAND-EST,225kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de LUTTERBACH,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,,"47.753164549571515, 7.258364226486704",,,1
JEUXE,JEUXEY,GRAND-EST,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de JEUXEY,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,3,"48.18856988851513, 6.487907051416407",,,1
GLONV,GLONVILLE,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de GLONVILLE,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,,"48.46332131723973, 6.705292916895886",,,1
DARNE,DARNEY,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de DARNEY,Oswald,> 15.0MW,07/05/2024,Semaine 19 mai 2024,,,"48.09988704366572, 6.045612308537304",,,1
CHEV6,CHEVAIN,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de CHEVAIN,Timothée,> 15.0MW,16/05/2024,Semaine 20 mai 2024,,1,"48.42046084577376, 0.13766696818213822",,,1
MOLIE,MOLIERE,PAYS-DE-LA-LOIRE,400kV,NOGO,Reçu,,2000,2000,2000,0,Antenne sur le poste 90 kV de MOLIERE,Timothée,> 15.0MW,16/05/2024,Semaine 20 mai 2024,,1,"47.87467694960211, -0.30704535790936155",,,1
CHABO,CHABOSSIERE (LA),PAYS-DE-LA-LOIRE,225kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,16/05/2024,Semaine 20 mai 2024,,2,"47.20657644140064, -1.685354814805559",,,1
GUERS,GUERSAC,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,0,2000,0,0,"pas de raccordement possible en 63 kV
 Antenne sur le poste 225 kV de GUERSAC",Timothée,> 15.0MW,17/05/2024,Semaine 20 mai 2024,,NOGO,"47.33814701232811, -2.167914479203285",,,1
C.GIB,LA CROIX GIBAT,BRETAGNE,63kV,NOGO,Reçu,,2000,2000,2000,0,Antenne sur le poste 63 kV de LA CROIX GIBAT,Timothée,> 15.0MW,20/05/2024,Semaine 21 mai 2024,,3,"48.480894285902814, -2.701470236260441",,,1
B.DAM,BAUME-LES-DAMES,BOURGOGNE-FRANCHE-COMTÉ,63kV,,En attente,,-,-,-,-,-,Oswald,de 0.0MWà 15.0MW,21/05/2024,Semaine 21 mai 2024,,Kill,"47.346355299651876, 6.354891660515887",,,1
AUXON,AUXONNE,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,"poste d'AUXONNE complet > piquage sur une ligne à proximité
 mais protégeabilité non sûre",Oswald,> 15.0MW,21/05/2024,Semaine 21 mai 2024,,-,"47.188760462661556, 5.386227669964856",,,1
AUTUN,AUTUN,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,,,,,Raccordement impossible au poste d'HAUTUN,Oswald,> 15.0MW,21/05/2024,Semaine 21 mai 2024,,-,"46.955798922129325, 4.318186526474689",,Raccordement impossible ,1
ARGIE,ARGIESANS,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV d'ARGESIANS,Oswald,> 15.0MW,21/05/2024,Semaine 21 mai 2024,,,"47.60168722516287, 6.813987547016708",,,1
MOHON,MOHON,GRAND-EST,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV de MOHON,Oswald,> 15.0MW,21/05/2024,Semaine 21 mai 2024,,-,"49.75322670516947, 4.736458124161315",,,1
CHECY,CHECY,CENTRE,90kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 90 kV de CHECY,Oswald,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,-,"47.91614841040365, 2.043775570370633",,,1
C.SAU,CHEVIGNY-ST-SAUVEUR,BOURGOGNE-FRANCHE-COMTÉ,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,-,"47.29078999040292, 5.148017042733185",,,1
SOMBU,SOMBUSSY,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV de SOMBUSSY,Oswald,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,"1,5","49.36453828803884, 5.193468737001603",,,1
QUEVI,QUEVILLONCOURT,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de QUEVILLONCOURT,Oswald,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,-,"48.4754248428628, 6.097009341461116",,,1
VLEJU,VILLEJUST,ILE DE FRANCE,400kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.67723564380352, 2.230721631713565",,,1
CBRY,CHAMBRY,ILE DE FRANCE,400kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.984759165043826, 2.907483161480454",,,1
CHESN,LE CHESNOY,ILE DE FRANCE,400kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.389289168106636, 2.865311712016253",,,1
CHENE,CHENET,ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,"1,5","48.566726696402014, 2.4698991721953423",,,1
FOSSE,FOSSES (LES),ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.78994358884522, 3.1106502493516306",,,1
LOGES,LOGES (LES),ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.58262262336206, 2.2866377215940905",,,1
NEMOU,NEMOURS,ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.23516671480642, 2.6878292734482043",,,1
SSAU5,ST-AUBIN,ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,1,"48.73039866356373, 2.1433333187722354",,,1
P.SAM,PONT-SUR-SAMBRE,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de PONT SUR SAMBRE,Pierre-Olivier,> 15.0MW,23/05/2024,Semaine 21 mai 2024,,"1,5","50.22951444665831, 3.863498026839419",,,1
AVRIM,AVRIMA,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV d'AVRIMA,Oswald,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,-,"48.87003004404964, 6.065519944902878",,,1
B.BAI,BAINS-LES-BAINS,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,0,Antenne sur le poste 63 kV de BAINS LES BAINS,Oswald,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,-,"48.0059803473337, 6.274170807391145",,,1
ALTKI,ALTKIRCH,GRAND-EST,63kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 63 kV d'ALTKIRCH,Oswald,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,-,"47.62754627678671, 7.2249081583620836",,,1
GANTE,GANTERIE,HAUTE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de GANTERIE,Pierre-Olivier,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,1,"49.38012507446947, 0.8333259010728329",,,1
BAYON,BAYON,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV de BAYON,Oswald,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,-,"48.47609204385033, 6.32913732820686",,,1
BROUS,BROUSSEVAL,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur le poste 63 kV de BROUSSEVAL,Oswald,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,-,"48.49489924174777, 4.970005387633146",,,1
FLERS,FLERS,BASSE-NORMANDIE,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 90 kV de FLERS,Pierre-Olivier,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,"1,5","48.7369218051188, -0.551524689784875",,,1
GACE,GACE,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV de GACE,Pierre-Olivier,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,1,"48.78160013935527, 0.29819715944819764",,,1
P.ARC,PONT-DE-L ARCHE,HAUTE-NORMANDIE,90kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,"1,5","49.314517136127535, 1.193129941060977",,,1
CAPEL,CAPELLE (LA),HAUTS-DE-FRANCE,400kV,,En attente,,-,-,-,-,-,Pierre-Olivier,de 0.0MWà 15.0MW,24/05/2024,Semaine 21 mai 2024,,1,"49.97393085796553, 3.9340436531894687",,,1
BIGNA,BIGNAN,BRETAGNE,63kV,NOGO,Reçu,,0,2000,2000,2000,Antenne sur le poste 63 kV de BIGNANT,Timothée,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,,"47.875355282223055, -2.792402338907413",,,1
HEINL,HEINLEX,PAYS-DE-LA-LOIRE,63kV,NOGO,Reçu,,0,2000,0,2000,Antenne sur le poste 63 kV de HEINLEX,Timothée,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,"1,5","47.267820581947106, -2.272311312510331",,,1
AVELI,AVELIN,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,P1,0,0,2000,2000,Antenne sur le poste 90 kV d'Avelin,Pierre-Olivier,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,1,"50.52532708093537, 3.082216682320097",,,1
SSBAI,ST-PIERRE-DE-BAILLEUL,HAUTE-NORMANDIE,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,24/05/2024,Semaine 21 mai 2024,,1,"49.127099845291866, 1.3721747026151478",,,1
RIAIL,RIAILLE,PAYS-DE-LA-LOIRE,90kV,,En attente,,-,-,-,-,-,Timothée,de 0.0MWà 15.0MW,27/05/2024,Semaine 22 mai 2024,,-,"47.50791540441938, -1.2832797710030155",,,1
PALEN,PALENTE,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 225 kV de PALENTE,Oswald,> 15.0MW,29/05/2024,Semaine 22 mai 2024,27/05/2024,3,"47.26748833117195, 6.054106022562324",,,1
C.REG,CHAMPS-REGNAUD,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 225 kV de CHAMPS REGNAUD,Oswald,> 15.0MW,29/05/2024,Semaine 22 mai 2024,27/05/2024,3,"47.352490056357226, 5.060000397609466",,,1
CHAV5,CHAVAGNES,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,antenne sur le poste 90 kV de CHAVAGNES,Timothée,> 15.0MW,29/05/2024,Semaine 22 mai 2024,,1,"46.869627639855594, -1.2617841769293754",,,1
BXPUY,BEAUPUY,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 90 kV de BEAUPUY,Timothée,> 15.0MW,29/05/2024,Semaine 22 mai 2024,,1,"46.64465646655172, -1.2370615617273344",,,1
PALLU,PALLUAU,PAYS-DE-LA-LOIRE,90kV,NOGO,Reçu,,2000,2000,0,0,"Antenne impossible sur le poste 90 kV de PALLUAU
> piquage sur la ligne 225 kV MERLATIERE - SOULLANS",Timothée,> 15.0MW,29/05/2024,Semaine 22 mai 2024,,1,"46.80674785592548, -1.6039646856377854",,,1
MERLA,MERLATIERE,PAYS-DE-LA-LOIRE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de MERLATIERE,Timothée,> 15.0MW,29/05/2024,Semaine 22 mai 2024,,1,"46.7762163103947, -1.3299202182972085",,,1
BRIO6,BRIOUX SUR BOUTONNE,NOUVELLE-AQUITAINE,225kV,NOGO,Reçu,,2000,2000,0,0,"Antenne sur le poste 225 kV de BRIOUX
 (un poste HTB 1 est à venir en 2030, mais le raccordement en HTB transférerait les limitations pérennes en limitations temporaires)",Timothée,,30/05/2024,Semaine 22 mai 2024,,,"46.158061110132266, -0.21075800859301422",,,1
GRANZ,GRANZAY,NOUVELLE-AQUITAINE,400kV,,En attente,,-,-,-,-,-,Timothée,,30/05/2024,Semaine 22 mai 2024,,-,"46.21901908381427, -0.5178185072062613",,,1
BRIZE,BRIZEAUX (LES),NOUVELLE-AQUITAINE,225kV,,En attente,,-,-,-,-,-,Timothée,,30/05/2024,Semaine 22 mai 2024,,-,"46.34798329184656, -0.43461148940042904",,,1
CHA.S,CHARTRES SUD,CENTRE,225kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,30/05/2024,Semaine 22 mai 2024,,-,"48.414658439580386, 1.449723604721932",,,1
CPVAN,CHAMPVANS,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 63 kV de CHAMPVANS,Oswald,> 15.0MW,30/05/2024,Semaine 22 mai 2024,,,"47.098411617733454, 5.444763105957661",,,1
MAINV,MAINVILLIERS,CENTRE,90kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 90 kV de MAINVILLIER,Oswald,> 15.0MW,30/05/2024,Semaine 22 mai 2024,,2,"48.45697257697647, 1.4581255188459803",,,1
EPER5,EPERNON,CENTRE,90kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 90 kV d'EPERNON,Oswald,> 15.0MW,30/05/2024,Semaine 22 mai 2024,,2,"48.59185832460507, 1.685556641089449",,,1
CHAIN,CHAINGY,CENTRE,400kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 90 kV de CHAINGY,Oswald,> 15.0MW,30/05/2024,Semaine 22 mai 2024,,2,"47.875466028298256, 1.8027956271153376",,,1
PYMON,PYMONT,BOURGOGNE-FRANCHE-COMTÉ,225kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 63 kV de PYMONT,Oswald,> 15.0MW,30/05/2024,Semaine 22 mai 2024,,2,"46.69163823944858, 5.561847877708474",,,1
CHAFF,LE CHAFFARD,AUVERGNE-RHÔNE-ALPES,400kV,NOGO,Reçu,,0,2000,2000,2000,antenne sur le poste 63 kV de LE CHAFFARD,Julien,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,1,"45.66202073093211, 5.122296204479954",,,1
MTLUE,MONTLUEL,AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,1,"45.8488663898842, 5.087460621893108",,,1
BLANZ,BLANZY,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de BLANZY,Oswald,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,-,"46.70845128700405, 4.407334456353266",,,1
BXNE,BEAUNE,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de BEAUNE,Oswald,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,2,"47.045551054075425, 4.850722340908345",,,1
GENEU,GENEUILLE,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de GENEUILLE,Oswald,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,2,"47.32086867087296, 5.99012194930783",,,1
GENLI,GENLIS,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de GENLIS,Oswald,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,-,"47.24657463087928, 5.230698408139277",,,1
MAICH,MAICHE,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de MAICHE,Oswald,> 15.0MW,31/05/2024,Semaine 22 mai 2024,,2,"47.24798048484798, 6.785268899102768",,,1
VENDO,VENDOME,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de VENDOME,Oswald,> 15.0MW,03/06/2024,Semaine 23 juin 2024,,1,"47.79148075433126, 1.0558417945642444",,,1
VENDO,VENDOME,CENTRE,90kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de VENDOME,Oswald,> 15.0MW,03/06/2024,Semaine 23 juin 2024,,1,"47.79148075433126, 1.0558417945642444",,,1
COLUM,LES COLUMEAUX,CENTRE,90kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 90 kV de VILLEMENT,Oswald,> 15.0MW,03/06/2024,Semaine 23 juin 2024,,"1,5","48.109864515941496, 2.7823573037717266",,,1
VLEME,VILLEMENT,CENTRE,90kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 90 kV de VILLEMENT,Oswald,> 15.0MW,03/06/2024,Semaine 23 juin 2024,,"1,5","46.93234699205698, 1.9627564422603414",,,1
CHAP5,LA CHAPELLE,CENTRE,90kV,NOGO,Reçu,,2000,0,2000,2000,Antenne sur le poste 90 kV de LA CHAPELLE,Oswald,> 15.0MW,03/06/2024,Semaine 23 juin 2024,,"1,5","47.304009651342, 0.40449757227872296",,,1
